project,pullNumber,CCR,Author_response,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
druid,7067,"Logic is changed. Now prints `val` and `val`. Maybe easier to rewrite this code by using `new TreeMap(valueMap)` and then iterating that map, instead of moving to an ArrayList and sorting.","So what this function is actually doing? Will this suffice ?
`  
    for(Integer val: valueMap.values() {
          System.out.println("" VAL: "" + val + "" CNT: "" + val);
        }
`",1,1,1,0,1,0,0,1,1,0,1,0,0
druid,8190,suggest `ParentNode` instead to make it more clear what the annotation relates to,Hmm I want to make it consistent with `Self`. Do you want me to rename it as well? I guess javadoc is pretty clear now that it relates to `DruidNode`.,1,1,0,0,1,0,0,1,0,0,1,0,0
druid,13647,Just checking whether 6 GB should be changed to 16 GiB?,@findingrish can you help clarify here? thanks!,1,1,1,0,0,0,0,1,0,0,1,1,0
druid,4341,"Despite it's documentation, `abandonSegment()` is called *not* only from `mergeExecutor`, so races between `persistAndMerge()` and `abandonSegment()` are possible. It should be resolved before merging this change, because it may lead to JVM crashes.",could you explain more on the race condition? @leventov,1,1,1,0,1,0,1,1,0,0,0,1,1
druid,4079,"So if we get those fields with subclasses different from the original object then we still get the first mapping and ignore the second implementation and eventually get unexpected/different results on dash, right?","Didn't understand this question. However any implementation of `inspectRuntimeShape()` anywhere doesn't affect correctness.

The purpose of `inspectRuntimeShape()` is to ensure that some copy of the code is always called with the same runtime shape (monomorphic), and (ideally) there is only one copy of the code for each runtime shape, not to make JIT perform the same compilation work twice and waste code cache (on Hotspot level) and instruction cache (on hardware level).

Not reflecting all fields which actually belong to runtime shape in `inspectRuntimeShape()` could lead to the situation when some copy of the code is called with non-monomorphic runtime shape, that will make Hotspot JIT to generate slower (but still correct) code.

Reflecting some fields which actually don't belong to runtime shape in `inspectRuntimeShape()` could lead to the situation when there are several copies of the code which are called with the same runtime shape, that will pollute code cache and will make JIT to perform the same work several times, but the code is still correct.",1,1,1,0,1,0,1,0,0,1,1,1,0
druid,8236,https://github.com/code-review-checklists/java-concurrency#justify-volatile,"I don't understand your comment. Do you want me to use the terms defined in the JMM?

I don't think this kind of comment helps. So do you think volatile here is necessary or not?",1,1,0,1,1,0,1,0,1,0,0,1,0
druid,6606,"Right after it's initialized we propagate all accumulated `nodes` to the listener (old version), in the new version we don't (we propagate only `newNodesAdded`). Could we make javadoc comments to the class which explain the purpose of the new behaviour, why it's better?","I don't understand your question. Could you suggest what Javadoc comment you think should be added and where?

Note: it shouldn't explain anything about the ""old version"", because that code won't exist anymore.",1,1,1,0,1,0,1,0,0,0,1,0,0
druid,13952,we should never be using both limits I guess. Can we remove the additional 3 params and just pass another param called type ? and re-use the same limit variables ?,"I am not sure of the use case. Theoretically, we can pass both the limits and error the query out if any one of them is reached. Is that the behavior we can encourage or do we want the user to give only one of the limit? ",1,1,1,0,1,0,0,1,1,0,1,1,1
dubbo,3090,"remove this line.
:)","I think, I did not understand this one. Which line you wanted me to remove?",1,1,0,0,0,0,0,0,1,1,1,1,0
dubbo,2703,remove unused imports,"ok,i will remove  it.but I do not know why all checks have failed.could you tell me reason? I have never used travis CI before.",1,1,1,0,0,0,0,1,0,1,1,1,0
elastic_elasticsearch,48944,"should we omit logging this message when `latestKnownRepoGen.get() == RepositoryData.EMPTY_REPO_GEN`?  In that case, the message is already logged in `getRepositoryData(long indexGen)`

i.e. change the condition to log to `if (genToLoad < latestKnownRepoGen.get()) {`",I'd just keep it simple as is. The only way we get here is by an external process clearing out the repo anyway. Not sure that's worth an additional condition?,1,1,0,0,0,0,0,1,0,1,1,0,0
elastic_elasticsearch,65792,"I'd like to see a test with multiple arguments that get folded into compound aggs, such as sum / min / max.","Do you mean multiple aggregations inside the PIVOT? Currently there is a check that we can only have a single aggregation inside the `PIVOT`, so we can't have `PIVOT(MIN(salary), MAX(salary) FOR ...)`.

This change only lifts the limitation on the *type* of that single aggregation within the PIVOT, so aggregations that are translated into an `InnerAggregate` will be allowed.",1,1,1,0,1,0,1,1,1,1,0,1,1
envoyproxy_envoy,2572,I think you can just inline this call.,"Or did you mean adding the `inline` keyword to `v6any_()`, making this a call to a `static inline` function?",1,1,1,0,1,0,0,1,1,0,1,0,0
eventmesh,4229,"You may give these parameters newlines to improve readability, or create a new local variable to pass the parameter. I would suggest the former.","Do you mean like this?

```java
private CloudEvent addTimestamp(CloudEvent event, Command cmd, long sendTime) {
      if (cmd == RESPONSE_TO_SERVER) {
          return getCloudEvent(event, sendTime,
              EventMeshConstants.RSP_C2EVENTMESH_TIMESTAMP,
              EventMeshConstants.RSP_EVENTMESH2MQ_TIMESTAMP,
              EventMeshConstants.RSP_SEND_EVENTMESH_IP);
      } else {
          return getCloudEvent(event, sendTime,
              EventMeshConstants.REQ_C2EVENTMESH_TIMESTAMP,
              EventMeshConstants.REQ_EVENTMESH2MQ_TIMESTAMP,
              EventMeshConstants.REQ_SEND_EVENTMESH_IP);
      }
  }
```",1,1,1,0,0,0,0,1,1,0,1,0,0
facebook_react-native,33882,I think that the default should be `.enabled`. Previously the `use_flipper!` function was always invoked.,"It was a separated function, so I think it was up to the final user to call it or not, did I miss something?",1,1,0,1,0,0,0,0,0,0,0,0,0
fineract,283,"If you are reading Entity from NotificationRepository, do we need to have separate readplatform service? Why can't caller directly call method on NotificationRepository? Readplatforms are designed to use JDBCTemplate not Repositories. ",I am trying it as repository wrapper. What name should this class be named? Would it be NotificationGeneratorReadRepositoryWrapper?,1,1,1,0,0,0,0,0,0,1,1,0,1
fineract,1251,"@vorburger  here, we are checking for all strings that were given to us and make sure none of them returns an Invalid status if it does we return a PlatformApiDataValidationException, does this answer your question? (I might have missed something?)


","vorburger  here, we are checking for all strings that were given to us and make sure none of them returns an Invalid status if it does we return a PlatformApiDataValidationException, does this answer your question?",1,1,1,0,1,0,0,0,0,0,1,1,0
flink,9910,"This builder introduces quite a lot of unrelated changes. I would move them at least to a separate hotfix commit to simplify review as well.

In general, although this minor refactoring reduces the code, it again changes the git history which is arguable because it makes a move back to unnamed method parameters and builder is usually added to name the parameters for readability. All-in-all I would be in favour of not touching it as it is not necessary.","I don't quite understand which are the ""unrelated changes"" that you are talking about? Do you mean the `Builder` class, or the `Builder#newBuilder` factory method, or the setters with 'MB' suffix?

If you mean the `Builder` class, I don't understand how changes to it is unrelated to the changes of `ResourceSpec` that the builder builds.

If you mean the `Builder#newBuilder` factory method, the purpose of them is to make sure `ResourceSpec` is always constructed with explicit cpu cores and task heap memory, which is required by FLIP-49.

If you mean the setters with 'MB' suffix, I think it also makes sense that we remove them and keep those with `MemorySize` arguments only.",1,1,1,0,0,0,1,1,1,0,1,1,0
flink,5193,Should we also simulate handling multiple closes here?,Do you mean `checkState(!closed)`? Close is encouraged to be idempotent.,1,1,1,0,0,0,0,1,1,0,1,0,1
flink,2729,"I think there might be a nicer/idiomatic way of doing this check through:

```
def isSingleton[A](a: A)(implicit ev: A <:< Singleton = null) = 
  Option(ev).isDefined
```
","Thanks!It's quite helpful,could you tell be where do you find this?
",1,1,1,0,1,0,0,1,0,0,1,0,0
flink,8215,"Conceptually, what is a retry? If I set it to `0`, would you expect an initial attempt and then no retries? I would interpret it that way and did in `YarnFileStageTest#testCopyFromLocalRecursive()`","And could you clarify by ""did in YarnFileStageTest#testCopyFromLocalRecursive()""? Are you suggesting testing the retry on `FileNotFoundException`? I think currently Flink is using a real S3 filesystem instead of a mock, so I am not quite sure how to do it.",1,1,1,0,1,0,0,1,0,1,1,1,1
flink,4826,"This class has actually little to do with latency. It's just a wrapper for a DescriptiveStatistics that we happen to use for measuring latency, as such i would rename the class/fields, and move it out of the latency namespace.","I do not know how to change, could you give some suggestions?",1,1,1,0,0,0,0,1,1,0,1,0,0
flink,22457,Can it be replaced by `MiniClusterExtension`?,"For `HAQueryableStateFsBackendITCase` and `HAQueryableStateRocksDBBackendITCase`, the initialization of `MiniClusterExtension` rely on `@Tempdir`, which will cause NPE,  I don't know how to initialize `@Tempdir` before `@RegisterExtension`,  do you have any suggestion?",1,1,1,0,1,0,0,1,1,0,1,0,0
flink,12069,This comment conflicts with current implementation.,You mean the address stored in the coordinator's checkpoint?,1,1,1,0,0,0,0,0,0,1,1,0,0
flink,15371,"Could you explain the removal of `throw t;` ?
Without it:
1. error can be not logged at all - if no more upload scheduled
2. or if upload errors are not logged later
3. it can be logged with a delay (complicated debug)","This is a top level method from the uploader/executor thread pool and the only meaningful way of returning the error to the task thread is via `error`? If we throw here, it would have no effect, or am I missing something? ",1,1,0,0,0,0,0,0,1,0,1,0,0
flink,4581,? Why does this test covers for both failure and normal paths? What if one of them never happen?,"What do you mean? What failure / normal path? `partition.add()` should always succeed in this case, i.e. it does not throw. If it did, the test would fail. It would also fail if the checks in the `finally` block fail.",1,1,0,0,1,0,0,1,1,0,0,1,0
flink,10769,Can we set the scope only for `test`?,"Yes, It is ok to set scope  as `test`. But I don't know why set provide in old planner before.",1,1,1,0,1,1,0,1,0,1,1,0,0
flink,14968,"I think it's better to signal explicitly that this thread can exit (after `notifyCheckpointCompleteAsync`?).
Otherwise, if there is a pause between `cancel` call and (errouneous) `interrupt` that interrupt can go unnoticed.

I reverted the fix and added 1s pause in `SourceStreamTask` - and the test passed (with running=true)","Yes, even without the sleep test can have false negative from time to time. Since this require unexpected sleep/hiccup of 100ms (or more), it looks like chances of this happening are pretty low (`<10%` ?), so the test would catch a regression quite quickly. This test checks:
1. we have a source that ignores for `x` milliseconds cancellation
2. checks that within those `x` ms source thread was not interrupted. 

`notifyCheckpointCompleteAsync`? Did you mean `StreamTask#notifyCheckpointComplete` -> `CheckpointListener#notifyCheckpointComplete`? 

Exiting on `CheckpointListener#notifyCheckpointComplete` would still require a sleep to check if the interruption was not called after it. Also in the stop with savepoint case, both `CheckpointListener#notifyCheckpointComplete` and `SourceFunction#cancel` are both being called from `StreamTask#notifyCheckpointComplete` one after another. As a matter of fact, `notifyCheckpointComplete()` is called before `cancel()`, so it would require even so slightly longer/more `MAX_POST_CANCEL_ITERATIONS`.

I don't see how can we reliably test this without some sleep based probability window, because for that to be possible we would need to have a notification hook that is always triggered **after** interruption, so that the source would know if the interruption was supposed to happen it would have already happened. But we don't have anything like that.",1,1,1,1,1,1,1,1,1,1,1,0,1
flink,7549,"Do we need to expose this class to all touched classes? If it would implement `ResultPartitionWriter` interface, we could just wrap it once in `Task` where it is currently created. `ResultPartitionWriter` could be used everywhere because other classes are mostly interested in `ResultPartitionWriter` but not in notification specifics.","Actually only `RecordWriter` and `Task` need touch this wrapper class for the requirement of notification in `addBufferConsumer` and `finish`. 

- Task calls the `finish` logic, so it has to maintain `ResultPartitionWriterWrapper` for this notification.

- `ResultPartitionWriterWrapper` has to be passed into `Environment` in order to be got for creating `RecordWriter`.

`Task` temporarily also maintains the previous array of `ResultPartition` which would be changed after refactoring the current `ResultPartitionWriter` interface. Do I get your points or misunderstanding?
",1,1,1,0,1,0,0,1,1,1,1,0,1
flink,12699,"I think you cannot use Kafka connectors compiled against an older Flink version. This is mentioned in the release notes of https://issues.apache.org/jira/browse/FLINK-17376, which is not yet added here.",@zentol can you clarify this? This comes directly from https://issues.apache.org/jira/browse/FLINK-15115,1,1,0,0,1,0,0,1,0,1,0,0,0
flink,12682,LICENSE.jodd is enough?,Do you mean we should always use the latest license? I was deliberately adding license files that are close to the specific version of each dependency...,1,1,1,0,0,0,0,1,0,0,0,0,1
flink,6776,"As mentioned before, we should split this class into a `CoProcessFunction` and a specialized `CoProcessOperator` that only contains minimal extension. Currently, this class uses a lot of internal code.","Again I don't understand what is the problem? `CoProcessOperator` doesn't contain any logic besides wrapping/proxying to user function. Also what do you mean by:

Regular `CoProcessFunction` and `CoProcessOperator` have fixed (different) semantic of what even time is set on emitted results when processing timers (check usage of `collector.setAbsoluteTimestamp` in this class compared to `KeyedCoProcessOperator`).",1,1,0,0,1,0,1,0,0,0,1,0,0
flink,17520,You should be able to just use `producedDataType` here.,"I don't quite get it. `producedDataType` is the data type produced by this source operator after projection push down. It might be different from what is stored in the avro file. For example, if this source is partitioned then partition keys are stored in file path, not in avro file. Also the order of fields in `producedDataType` might be different from `physicalRowType`, and I need to map the fields in `AvroGenericRecordBulkFormat`.",1,1,1,1,1,0,0,1,0,0,1,0,1
flink,2735,"There is no check for input, what would be in case incomingDataset will be empty, at least trainig is not required. May be it would be better to throw exception notifing about that or may be write a waring.
	Such a trivial encoding could be recource consuming, but not efficient. ","@kateri1 - C119, but we can throw some warning message in the case that the word2vec vocabulary size is < 1 after initialization. I agree that this should only warrant a notification.

 I'm not sure what you mean with `Such a trivial encoding could be recource consuming, but not efficient`",1,1,1,0,1,0,1,1,1,0,1,0,1
flink,9905,Maybe instead of inheriting from `AbstractAvailabilityProvider` it would be better to use composition and introduce `private final AbstractAvailabilityProvider availabilityProvider` field?,"I ever considered making `AbstractAvailabilityProvider` as a specific helper class, not the current abstract class, and then we use it as a protected field in `InputGate` instead of inheriting it. But it needs also changes in `SingleInputGate` and `UnionInputGate` for reference with `AbstractAvailabilityProvider` in many places. And the current way does not need to touch them.

I guess your main concern is from somewhat duplicated inheriting from `AvailabilityProvider` in the form? Because both `AbstractAvailabilityProvider` and `PullingAsyncDataInput` inherit from it. ",1,1,0,0,1,0,1,1,0,0,1,1,1
flink,8162,Is it correct? What if the types mismatch? I think just comparing input size is not enough. Also `relBuilder.project(projects);` handles trivial projections internally.,"Sorry about the wrong comments bellow. I will update it.
In this case, comparing the input size is ok. The input is also a project and the trivial project hasn't performed any column pruning. Or have I missed something?",1,1,1,0,1,0,0,1,0,0,0,1,0
flink,13789,Just `parallelism <= 0`?,"Sure, btw should `TableException` also be thrown here instead of `RuntimeException`?
@JingsongLi ",1,1,1,0,0,0,0,1,1,0,1,1,0
flink,21245,"We should avoid hidden config options. Give them a proper key, move them into the `...Options` class they belong and use annotations to hide them from the docs generation. Otherwise it is very difficult to find them across the code base, we recently did in the same in the planner that also had internal options.",Where would you propose to place them and how to name them?,1,1,1,0,1,0,0,1,0,1,0,0,0
flink,17811,"`new Tuple2<>` is expensive, can't we perform the trimming in place already? We could use a reusable `RowData` instance for buffering and copy over the values in `UpdatableRowData` later.","We can do it here and not use a `List<Tuple2<>>`, but how can we reuse the `RowData`? that's the `RowData` iface so we don't know the implementation and call directly `.setField()` on it. Could you please provide more details, probably I'm missing something.",1,1,1,0,1,0,0,1,1,0,0,0,1
flink,21458,should we add a test to test the locking mechanism is invoked?,"Hi @hlteoh37 , 

Thank you for reviewing the patch . 

can you please elaborate more what exact test senerio you are thinking to get added here? 
",1,1,0,0,0,1,0,1,1,1,1,0,1
flink,11100,what's with the profile stuff?,"Sorry, I did not understand what you mean. Do you mean to set it as the default profile?",1,1,1,0,1,0,0,1,0,1,1,0,0
flink,14165,"This test case is a unit test, not an integration test, so this test case should be moved to `TableEnvironmentTest`

nit: `sink1Path` and `sink2Path` are unnecessary",You means that move this tests to `TableEnvironmentTest ` from `TableEnvironmentITCase`?,1,1,1,0,1,0,0,1,0,0,1,1,1
flink,4851,"I did a similar refactoring in one of my pending PRs, but it's ok because that one will probably not make it into 1.4. What I would still suggest, if you search for subclasses of `StreamMockEnvironment`, there are still more cases (some as anonymous classes) that could be replaced by a proper dummy like this.","I have found only one more usage of `StreamMockEnvironment` in `AsyncWaitOperatorTest#testStateSnapshotAndRestore`.  Did you mean something more?

",1,0,1,1,0,1,0,1,1,0,1,0,1
flink,10009,`checkState()`?,What do you mean? You want to combine both `check` methods to one checkState?,1,1,1,0,1,1,0,1,0,1,1,0,1
flink,11473,"I know that I made `Configuration` `Cloneable`, but now I have to admit that this was a failure. I would suggest to rather use the copy constructor of `Configuration` in order to not spread this pattern.","I'm curious, why is that a bad pattern? Because of a potential ambiguity with inheritance?",1,1,1,0,1,0,0,0,0,0,1,0,0
flink,22987,"I looked into the multi-threading of netty a bit more and found the `SelectStrategy` being a viable tool to control the state of the request. I came up with the following test:
```
    @Test
    public void testCloseClientWhileProcessingRequest() throws Exception {
        final OneShotLatch connectTriggered = new OneShotLatch();
        final OneShotLatch closeTriggered = new OneShotLatch();
        final SelectStrategy fallbackSelectStrategy =
                DefaultSelectStrategyFactory.INSTANCE.newSelectStrategy();
        final SelectStrategy selectStrategy =
                (selectSupplier, hasTasks) -> {
                    connectTriggered.trigger();
                    closeTriggered.awaitQuietly();

                    return fallbackSelectStrategy.calculateStrategy(selectSupplier, hasTasks);
                };
        // Note that the executor passed to the RestClient constructor is not the same as the
        // executor used by Netty
        try (final RestClient restClient =
                new RestClient(
                        new Configuration(), Executors.directExecutor(), () -> selectStrategy)) {
            final CompletableFuture<?> requestFuture =
                    restClient.sendRequest(
                            unroutableIp,
                            80,
                            new TestMessageHeaders(),
                            EmptyMessageParameters.getInstance(),
                            EmptyRequestBody.getInstance());

            connectTriggered.await();

            final CompletableFuture<Void> closeFuture = restClient.closeAsync();

            closeTriggered.trigger();

            // close should complete successfully
            closeFuture.get();

            final Throwable cause =
                    assertThrows(
                                    ExecutionException.class,
                                    () -> requestFuture.get(0, TimeUnit.SECONDS))
                            .getCause();
            assertThat(cause, instanceOf(IllegalStateException.class));
        }
    }
```
It would require an extension of the `RestClient` adding a package-private constructor:
```
    // ...
    public RestClient(Configuration configuration, Executor executor)
            throws ConfigurationException {
        this(configuration, executor, DefaultSelectStrategyFactory.INSTANCE);
    }

    @VisibleForTesting
    RestClient(
            Configuration configuration,
            Executor executor,
            SelectStrategyFactory selectStrategyFactory)
    //...
    NioEventLoopGroup group =
                new NioEventLoopGroup(
                        1,
                        new ExecutorThreadFactory(""flink-rest-client-netty""),
                        SelectorProvider.provider(),
                        selectStrategyFactory);
    // ...
```
WDYT? That should test the `isRunning.get()` code path.","With this additional test, the `isRunning` codepath is now tested, but not the branch where the listener is unable to be attached and is thus handled in `notifyResponseFuturesOfShutdown()`. I think there is just a microscopic window for this to happen, between the calls to `bootstrap.connect()` and `connectFuture.addListener()`, which are not executed atomically.

The only way that comes to mind to test that would be to inject a latch to enable calling `close()` between those two calls.

Do you think that's necessary? I could also add a note that that eventuality was tested manually, with `notifyResponseFuturesOfShutdown()` successfully resolving the future.",1,1,0,0,1,1,1,1,0,0,1,0,0
flink,10330,"`taskSlot.isFree()` should be always `false` now if `taskSlot != null`.
We could also consider removing `TaskSlotState#ACTIVE` and `FREE`","True, we could consider removing `TaskSlotState#FREE`, but why `ACTIVE`?",1,1,1,0,0,0,0,0,1,0,1,0,0
flink,12980,"Whenever you use an executor that is not provided via some factory method in `java.util.concurrent.Executors` I would recommend writing down some tests for it to ensure it behaves exactly the way you expect it to.
This right here is probably fine since we know the upper limit of possible tasks to be queued (== 1 task per slot), but a test would also be good for documentation purposes.
",What kind of test do you mean? That the closing verification is off-loaded? I want the executor to allocate a new thread if there is no idle one for each slot closing but I do not want to keep idle threads too long. Is it not how the `ThreadPoolExecutor` is specified?,1,1,1,0,1,1,0,1,1,0,1,0,0
flink,15425,"After your change `stopMailboxProcessor()` has an implicit contract that it should be thread safe and because of that I'm not sure if extracting this code to separate method as it is is a good idea. There is `WARN` comment that you have missed. 

(Previously that was a private implementation detail of this lambda method that it has to be thread safe. Now you are moving it to the `StreamTask` interface)","Not sure if I fully understand the concern. Can you help me understand more? Previously it is possible that the logic in `stopMailboxProcessor` is run in a different thread from the mailbox thread, e.g. the `SourceThread` in `SourceStreamTask`. So supposedly the `stopMailboxProcessor` logic should already be thread safe. And expose it to subclasses should also be safe. Is that the correct?

Or do you mean by exposing the method to subclasses, the subclasses may stop the mailbox any any given time without coordinating with the control flow in the `StreamTask`?  But both `mailboxProcessor` and `getCancelables` are already available to subclasses, so the subclasses can do that anyways.",1,1,1,0,1,1,1,1,1,1,1,0,1
flink,15313,What has happened with this test? Have you replaced it with something else?,"Could you help explaining what does it test then? The way I'm seeing it verifies bookkeeping of sequence numbers.

Tests such as e.g. `testActiveTimeoutAlignmentOnAnnouncement` verify that barriers are proritized on announcements when switching to unaligned checkpoints (data is overtaken)",1,1,1,0,0,0,0,0,1,0,1,0,0
flink,12306,"This does not remove the output from `watermarkOutputs`. Please add a test that verifies correct behaviour when removing outputs.

With the current design, it's actually not possible to remove the output from `watermarkOutputs`. One possible solution is to get rid of that list and always use the Map for iterating the outputs in `onPeriodicEmit()`. That would be a smidge slower but I think that's ok because periodic watermark emission does not happen super often.","Why is it not possible to remove from `watermarkOutputs`? It is a linear operation (`List.remove()`), but then again, it doesn't happen very often.",1,1,1,0,0,0,0,1,0,0,1,0,0
flink,14847,"Just a question, we could theoretically iterate over regions instead of all vertices, here, right?","Yeah, it took me also some digging to find a connection. I found  `executionGraph.getSchedulingTopology().getAllPipelinedRegions()`. Not sure, though, whether this works conceptually.",1,1,1,0,0,0,0,1,1,0,1,1,0
flink,12620,"I think it would be slightly nicer to do it the following way:
```suggestion
                        if (slotManager.registerTaskManager(workerTypeWorkerRegistration, slotReport)) {
			    onTaskManagerRegistration(workerTypeWorkerRegistration);
			}
```

That way, sub classes won't be able to obstruct the registration of TMs at the `SlotManager` but can still listen to registration events. Of course, this change would required that `SlotManager.registerTaskManager` returns `true` if it is a new registration and `false` if it is not a new registration.","I think this is a good suggestion on how to providing sub-classes obstruct the registration. Thanks for that. 

What I don't understand is why do we need the `SlotManager.registerTaskManager` returns whether it is a new registration or a duplicated one.

I think the following changes should work, with a no-op implementation for `onTaskManagerRegistration` in the base class, overridden in sub classes. 
```suggestion
			slotManager.registerTaskManager(workerTypeWorkerRegistration, slotReport);
			onTaskManagerRegistration(workerTypeWorkerRegistration);
```",1,1,0,0,1,0,1,1,0,0,1,0,0
flink,3686,missing space after if,How should I ensure the param validity? Is there any helper class or should just throw an IllegalArgumentException? Is there any example I can take as reference param handling?,1,1,1,0,0,0,0,1,0,0,0,0,0
flink,16287,"this tests only the schema, isn't it possible to access the underlying catalog table? via `getTableOperation`","Do you mean `getQueryOperation`? That'll be a `CatalogQueryOperation` which only has the identifier and resolved schema. I don't think there's a way to the underlying table (other than looking it up ourselves), but even so we have no table to compare it against; we'd need to assert individual parts anyway, no?",1,1,1,0,1,0,1,1,0,1,1,0,1
flink,14014,It would be good to explicitly link to `config.sh#KEY_ENV_PID_DIR `and `config.sh#DEFAULT_ENV_PID_DIR`.,I cannot link the config.sh file  in the java document with {@link}. Can you help me ?,1,1,1,0,1,0,1,1,1,0,0,0,1
flink,23376,Could be private ?,"I think the private constructor is generally used to prevent others from explicitly creating object.
And RocksDBPriorityQueueConfig is not the case. I think the public constructor is more reasonable.
Please let me know if my understanding is not right.",1,1,0,0,1,0,0,1,1,0,1,1,0
flink,6883,this test must also not be run in parallel to `testSlotSharingForForwardJobWithCoLocationConstraint`,does it make sense that we move unlock to finally block for possible parallel testing? or defer the synchronization until we really make it parallelized.,1,1,1,1,1,0,0,1,0,0,1,0,0
flink,6464,This is copied code but I don't understand why it's needed.,This is copied code but I don't understand why it's needed.,1,1,1,0,0,0,0,0,1,0,1,0,0
flink,6594,some requisite field we can inject with constructor?,"I don't entirely understand what you mean, there is a builder to add the required fields. Do you mean adding a constructor to construct the object without having to use a builder?",1,1,1,0,0,0,0,1,0,0,1,1,0
flink,6049,"given the existing pattern of separating by `JobStatus` we may want to do the same for the remaining jobs.

```
runningJobs.stream().collect(Collectors.groupingBy(JobStatusMessage::getJobState))
	.entrySet().stream().sorted(<sort by JobStatus>)
	.map(Map.Entry::getValue).flatMap(List::stream).sorted(<sort by timestamp>).forEachOrdered(<print>);
```","Thanks for the reply @zentol , I wasn't sure I fully understand this comment. Are you suggesting that we should always group jobs with same status together during print for all 3 cases?",1,1,1,0,0,0,0,1,1,1,1,1,0
flink,14165,please also add some test cases for legacy planner,"Hi @godfreyhe , Sry, How i get legacy planner and add tests for it? Add it to `org.apache.flink.table.api.TableEnvironmentTest`?",1,1,1,0,1,0,0,1,0,0,1,0,0
flink,17387,"Split `addTaskForJob` into 2 separate methods instead, and explicitly create the TMJMG at the start of `submitTask.`","Could you elaborate why this should be changed?

To me, it doesn't seem directly related to my change; I also don't see any obvious reasons why one way is better than the other.",1,1,1,0,1,0,0,1,1,0,1,0,0
flink,11567,it's better to avoid the use of mock,"You mean I should replace ""mock"" with a ""TestBufferAvailabilityListener"" here? I can do this but I wonder what the difference is.",1,1,1,0,1,0,0,1,0,0,1,0,0
flink,10146,we could already introduce a helper function to create `taskExecutorResourceSpec`.,Not sure what does this comment mean. What behavior exactly do we want to verify with `MesosTaskManagerParametersTest`?,1,1,1,0,1,0,0,1,0,0,1,1,0
flink,18930,"This line is inconsistent with others, is it correct? There is a mixture of `trust-all-certificates` and `trustAllCertificates` in the options","I am sorry, I can't get why it is inconsistent. I couldn't find the `trust-all-certificates` or the `trustAllCertificates` in this document or in the firehose/aws options in the implementation.",1,1,0,0,1,0,0,1,1,1,1,0,1
flink,5115,"The problem with this test and many others that were added is that they test implementation details instead of behavior. We shouldn't check whether the parent is a GenericMetricGroup or a GenericKeyMetricGroup, but instead how the scope/variables are affected.
","Do you mean it is preferable to replace this with verifying `group.getLogicalScope(ilter, delimiter)` and `group.getAllVariables()`?",1,0,1,0,1,0,1,0,1,0,1,0,1
flink,12268,"hmm, this reminds me, we aren't caching downloads for the e2e tests on azure, are we?","Nope, we are not. What needs to be done for that?",1,1,1,0,1,0,0,0,0,0,0,1,0
flink,18931,"For the order of parameters, I think place `attemptsPerTaskHistogram` in the last order looks better.","Hm.. `attemptsPerTaskHistogram` is already the last argument. Could you clarify what do you mean?
",1,1,0,0,1,0,0,0,1,0,1,1,0
flink,11972,"Sorry for the back and forth but please add a more ""descriptive"" documentation. For example, this is what `CountTrigger` has:
```
Creates a trigger that fires once the number of elements in a pane reaches the given count.
	
@param maxCount The count of elements at which to fire.
@param <W> The type of {@link Window Windows} on which this trigger can operate.
```
I would rather have a good description and have no `@param` descriptions ","Its okay, better now then never.
So i added more description and added and example, is that enough?",1,1,1,0,1,0,1,1,1,1,1,1,0
flink,9006,"> [FLINK-13107][table-planner-blink] Fix bug when infer resultType of some PlannerExpression.

[FLINK-13107][table-planner-blink] Derive sum, avg, div return type in planner expressions using behavior of blink ?","Run a sql query using blink, the behavior already using behavior of blink. It would be strange if the  behavior is different when run a tableApi query.
So I think we should use behavior of blink.
Do you mean change the commit message?",1,1,1,0,0,0,1,0,1,0,0,0,1
flink,15221,"I don't sure how it is legal to reset the flag to true. In fact, I didn't find why MailboxProcessor can not be restarted but I could miss something.","I don't sure how it is legal to reset the flag to true. In fact, I didn't find why MailboxProcessor can not be restarted but I could miss something.",1,1,1,0,0,0,0,1,0,1,1,0,0
flink,16946,I think we should put these options into the `JobManagerOptions` class.,You think `ClusterOptions.CLUSTER_IO_EXECUTOR_POOL_SIZE` should control both the `ClusterEntrypoint` and the `JobMaster`? Seems like we would want arbitrary control over either.,1,1,1,0,0,0,0,1,1,0,1,1,0
flink,19190,"let's offer a `ofSpecific(String name, Object toString)` that will be printed as `""<...>""`, we don't need the following `of` methods then",Not sure what you mean with this and the above comment,1,1,1,0,1,0,0,1,0,0,1,0,0
flink,4517,"nit: I would change the exception to `UnsupportedOperationException`, which is more natural fit hear. Backward compatibility is not something that we should worry about with `IllegalStateException` :)","I agree that `IllegalStateException` is not the best fit here, but also, `UnsupportedOperationException` is not - what do you think about `ProtocolException`?",1,1,0,0,0,0,0,1,0,0,1,1,0
flink,11322,@jiasheng55 The `YarnFileStageTestS3ITCase .testRecursiveUploadForYarnS3a ()` seems to be failing on my Travis and the failure seems to be related to this change here. Could you please fix it and then I can merge.,"@kl0u Sorry I didn't reproduce the failure on my Travis and I don't know how to run `YarnFileStageTestS3ITCase` manually, could you tell me how to reproduce this failure?",1,1,1,0,1,0,0,1,0,0,1,0,0
