CCR,response,actual,Prediction
shouldn't `defer consumer.Close()` be called right after line 66?,i am wrong,1,1
"can we wrap these around, without placing them on each line, consistent with most of our code?","@vinothchandar  What about replacing `inlineCompactDeltaCommitMax, inlineCompactDeltaSecondsMax` with `HoodieWriteConfig config` ?",1,1
"It should be a debug level log? If we have many partitioned topics and non-partitioned-topics, we will get a very long log here, maybe print the topic count is better?",Thanks for your suggestion! I have addressed the comment. PTAL~ @codelipenghui,0,1
dataset can back multiple tables right?,"yes, changed slightly",1,1
"""sqlBinds.getParamsMap()"" can be replaced with  ""params.entrySet()"" 

since there is alreay a  params.
",ok,0,0
pull the number into a constant. Know that I automatically -1 all inline constants in production code and save time all round.,"my bad, let me fix this real quick",0,0
These methods are actually only used once and contain only a single line. Why not use them directly in place?,Good point - fixed now.,0,1
"How many of these modifications are known necessary for this particular IT vs just things that have worked in the past? If it's possible to use a stock ES docker image, that'd be awesome. I'm guessing it's not possible or you would have used that originally :)

Are these still necessary if we restrict it to a super small data set? 
","These modifications are mandatory to start the ES v5 container regardless of the volume of data. But, as the current code only support ES v2.x, I can remove everything related to ES v5 in this script and keep it for a future BEAM-1637 PR. Regarding the use of stock docker image: the stock image does not contain kibana and logstash which are convenient to request ES (kibana+sense) and to inject data (logstash). The image used in the script is in apache licence.",1,1
can we call this `getNodeLockId()` pls,I pushed b21702e7bff6b57733908b476b87598be0ad0164.,0,0
"I don't understand how this is an improvement. Exceptions such as NPE or OOM would be lost with this change. By catching Throwable, those exceptions are logged.
","NPE still gets caught. If OOM is thrown, does it really make sense to retry? That's usually a pretty drastic condition and very often the JVM is not actually in a recoverable state. The OOM can be thrown because of a different thread going wonky, and we have no way to clean up the resources it was using.
",1,1
"The interface currently declares that it throws `IOException` (I asked a question about it).
If it stays then I'd expect that unchecked exception from here should be wrapped into IO (?).
If so, we should throw Runtime (or Test) exception from here to check that it get's wrapped.",I dropped the IOException. That's a leftover from an earlier iteration I missed when cleaning up the PR.,1,1
"Can you document format and type of data produced for each of these cases ?
","Will do
",1,1
"```suggestion
        continue;
      }
```

or

```suggestion
      } else {
        ...
      }
```",done,0,0
"How big is the cusparse state? I know it's simpler to put it in here, but it would be more elegant to manage these handles in THCS 😕 THC doesn't make any use of them.","I wondered about this a bit. I don't know the size of the state (since cuSPARSE just returns an ""opaque handle""). I guess we could have `THCSGeneral.{h.in,c}` files in THCS defining a `THCSState` in addition to the current `THCState` but I don't know if it's worth the added complexity (right now all CUDA resources are centralized in a single object, which is a nice property too). Also if we ever want to use cuSPARSE in THC some day we'll have to merge everything back.",1,1
"This test name should probably be ""shouldReturnMember_givenRangeIncludingScore"" or something similar.","Yeah, missed one.",0,1
Can you set this once before the try instead of on every failure?,indeed... Don't know why I didn't just do that to begin with. Nice catch!,0,1
"RowsetMeta use deserialize interface to convert bytes to RowsetMetaPB. 
Only RowsetMeta can know it is stored as pb or another format.",ok,0,0
"This should probably be set to private, and by convention for static vars, should be uppercased.",Done,0,1
We should hide this as an implementation detail within the sdk harness code as we don't want users to have to worry about this.,"Yes. I'm going to move `ThreadsafeRestrictionTracker`, `RestrictionTrackerView` and `ThreadsafeWatermarkEstimator` to `common.py`",0,1
"Presumably this code can now be dropped?
",Done,1,1
I'd suggest to keep this 3 fields into the Throttler object to be more self-contained,"I made a change, only  one field  `averageEntrySize` keeped.",0,1
generic type? I don't like warnings but it's not big deal,done,1,1
"Let's use Guava Joiner instead of memcached internal utils.
","yep. mistake.
",0,0
Can we add a test for the new error message?,"Sorry, but I wonder how can I put the things together ?",1,1
"I'm getting errors on all these added tests, is there something I have to set up in my integration test environment (perhaps a variable registry or something)?",No. Weird thing is I just ran it and there were not errors.,0,1
"Why not maintain these methods as non-abstract, e.g.
```Java
protected T createFilter(Shape shape, Hasher hasher) {
    T f = createEmptyFilter(Shape shape);
    f.merge(hasher);
    return f;
}
```

Then you do not have to change all the existing tests to create and then merge the argument.
",changed,0,1
Shall we highlight the refactoring change?,Fixed,1,1
"```suggestion
    if sys.argv[1:1] == [""--version-suffix-for-pypi""]:
```

(Or some other way of avoiding list index out of range when no args at all",My bad. Working with templates :(,0,0
"Why this WARN log, wont you be able to get some error and still get data. I would remove that WARN","I wasn't sure what to do in the case of a non-200 status here.  Treating this as a failure (in this case calling doTaskCompleted()) caused a bunch of other tests to fail.  Should I treat this as a failure and update the other tests, or just ignore it?",1,1
"There is a small issue with this snippet. When the ReduceLROnPlateau optimizer is pop'ed, the i should not be increased, otherwise, the element following the element being pop'ed ends up in position schedulers[i] and then i is immediately increased, so that element never gets checked ( to see if it is another ReduceLROnPlateau.
This would not cause any problems when there is only on ReduceLROnPlateau scheduler.
While there is probably no reason to have more than one ReduceLROnPlateau scheduler, it would be nicer to change the code. Either move the i+=1 to an else branch, or ( if we make assumption that only one ReduceLROnPlateau scheduler is present ) break out of the loop.
```suggestion
            else:
                i += 1
```","Hi, thank you for the fix. I decided to support only one ReduceLROnPlateau scheduler.",0,0
"We could consider tagging command tests with GfshCommandTest instead of GfshTest and then reserve GfshTest for Gfsh internals. For example, this test would end up with:
```java
@Category({DistributedTest.class, GfshCommandTest.class, AsyncEventQueueTest.class})
```
And then this test could be maintained by anyone wanting to maintain AsyncEventQueue.","I generally like that idea, but am not sure how the GfshCommandTest category would be used. 100% of what's in it would also be part of another test category. Maybe we can revisit the gfsh command related tests once we are done with the basic initial categorization?",1,0
"Just a reminder to cross-check these tests against the Java ByteKeyRangeTrackerTest and similar Google-internal code.
","Is there a more extensive set of tests than https://github.com/apache/incubator-beam/blob/f62d04e22679ee2ac19e3ae37dec487d953d51c1/sdks/java/core/src/test/java/org/apache/beam/sdk/io/range/ByteKeyRangeTrackerTest.java ? 
",1,0
"```suggestion
     * closely and compressed better. Besides, it can significantly alleviate high-cardinality issue for some indexed tags.
```","I think what you add is from database implementation, not has to be. Right?",1,0
see previous comment about `final`.,Will fix.,0,0
`{code List([1` ==> `{@code List([1`,"fixed, sorry for this typo",0,0
"It seems impossible to distinguish between a literal ""\\x00"" and ""\x00"" after this transformation.

Suggest using `SanitizeString` perhaps with a new rule.","Only running the else branch once is fine with me though, not sure. It's a compromise between precise troubleshooting and the fear that this would generate very long strings.",1,1
"Can you pass along the original exception as well? `throw new IllegalArgumentException(errorMessage, e)`",Done!,0,1
"Suggestion: 

We can extract `StorageRetryStrategy.getLegacyStorageRetryStrategy()` into a static method `storageRetryStrategy()` in `GoogleCloudStorageService`, so if happen to update the retry strategy in the future, we would need to do it only in one place.","It might be worthwhile to wait until we find out whether the alternative to `LegacyStorageRetryStrategy` is one of the other two strategies available in the SDK, or a custom retry behaviour. ",0,0
Should it rather go through the Markup formatter so that one can set hyperlinks & Co?,Can you give me a hint how to do it?,1,1
"Won't adding a qtest be better?

You are explicitly doing `tblUpdated.getSd().getBucketCols()` and updating them in the test. qtest will check end to end flow and you don't need to bother about getting Sd and updating the cols explicitly (Just a single alter table will do the trick). ",Method is added in standalone metastore. So we need to add some unit test case in some form to validate the code the while building the standalone.,1,1
"`defaultDataSourceName` are 4 words, please split it",ok,0,0
"This seems redundant, since GenericTestUtils.setupTestRootDir() does the same thing.  Can't we just use GenericTestUtils.DEFAULT_TEST_DATA_DIR?  Note that GenericTestUtils.DEFAULT_TEST_DATA_DIR has the advantage of being correct in both linux and windows, where the hard-coded strings will only work in linux.

I'm actually not sure you need to pass a default to GenericTestUtils.setupTestRootDir.","The point that if the property ""test.build.data"" is set globally to the unit tests, then the `ClusterMapReduceTestCase.java` should also reads this value. Otherwise, all unit tests would not consume the global properties set to the JVM. It will be a mess in the folders",1,1
"@dimsijul Hi. maybe its a good idea to change NETMAN to the directory too like NETPLAN or IFUPDOWN because eth0 can change if we dont use the naming scheme.

_""If both systemd predictable interface naming (net.ifnames) and biosdevname naming schemes are disabled, network interfaces continue to use the unpredictable and potentially inconsistent ethX name originally given by the kernel.""_

```shell
NETMAN=/etc/sysconfig/network-scripts
```",Yes that is what I mean,0,0
Maybe rename to HTTPHeaders or ProtocolHeaders to make the meaning clear (as opposed to say SOAP headers),ProtocolHeaders indeed make more sense. Other question if it makes sense to support masking sensitive SOAP headers as well?,1,1
"I am a little worried about scan all precision types.
Another way is just bridge all conversion types to DataType from DDL schema, what do you think?","Unfortunately we can't, in some special cases, the original data type is not the same to logical type, e.g. BIGINT vs Timestamp Rowtime Attribute, and Legacy(Pojo) vs RowType. So currently, we only picks the precision types to update.",1,1
"Are you sure you need a new connection? Google Cloud Platform (`google_cloud_platform`) does not create a separate connection for each of your services. If you create a separate connection, each user will have to enter the credentials to Azure again.",@mik-laj what would be the alternative of this?,1,1
"I don't really like that the reverse path iterator iterates through QueuePath objects, it seems a bit overkill to me and also inconsistent with the regular iterator which iterates through the path parts (String).

How are we going to use this, do we really need this many queue QueuePath objects? Wouldn't it be enough if we'd only return path parts just like the simple iterator?","I had some cases where I could use it, but I agree, let us keep this simple.  ",0,1
"Do we need this extra level of exception wrapping?
","Although, now that I think about it, it is good to know that it came from a timer callback. What do you think?
",0,1
Please add the documents to these methods like other methods so that doxygen can generate the related docs.,ok.,0,0
Should we check this also before line 207?,The InstanceConfig is autogenerated for that branch before line 207. Do we also need to check that as well?,1,1
"```suggestion
_Synonyms_ are words or phrases that have the same or similar meaning.
```",I'm wary to use italics - I don't see it used a lot through the docs. Maybe docs team has guidelines here?,1,1
We just switched to 3.0 syntax so just call `super()` here,"agreed, implemented",0,0
Remove change,Remove change,0,0
same as previous question.,same as previous answer,0,0
Please don't introduce generics into exported methods in a pure cleanup PR.,reverted,0,0
The processing logic of this repository is not much different from that of Service. It is recommended to merge it into Service.,"fixed, thx",0,0
Need to add `java-version` to these job(s),like this?,1,0
"you added lots of things here, but don't appear to be tested","If this is a deal-breaker I can change this to just alias `_add_offset = _add_delta` (which is the method currently called when a `DateOffset` is added to a `PeriodIndex`).  The point of this part of the PR is a) by separating the methods for Tick vs non-Tick offsets, we get to simplify elsewhere, and b) `_add_delta` is a thin wrapper around `_maybe_convert_timedelta`, which is on the messy side.",1,1
Similar concern with Deprecation here,Also not used elsewhere in samza and removed.,0,0
"What's the reason for this change? Also, this class should define a serialVersionUID if it's implementing Serializable.","The `RedisMemberInfo` is returned as part of a DUnit call. Since that doesn't use any custom Geode serialization, it needs to support java's generic serialization.",0,1
What do you think about using `embedder._getZoomFactor()` here so that below we don't have to wrap it in side a callback?,:+1:,0,1
Can you elaborate what `writtenPartitionsSince` refer to?,Do you mean adding the explanation of `writtenPartitionsSince` in the method comment?,1,1
"generally it is a code smell to see a method that returns a CompletableFuture to throw an exception.

The expectations for the caller is that any error will be reported by the CompletableFuture.

can we catch all of the possible exceptions and then return a failed CompletableFuture ?","It's possible to make that change, but is it necessary?",1,1
Could you reference the root cause of the no-size-segment?,I don't know what is the root cause.,1,1
"This creates a new hook, but execute uses `self.hook` - is that existing hook (which is a sub-class of AwsHook so has expand_role() on it) available here?

(I probably missed this point in the previous PR.) Not a big issue though.",expand_role is not used in all of SageMaker operators. It is only used in the operators which accept a config with field of role. So in expand_role I just create a new hook and not reuse self.hook.,0,1
"defined in main pom, remove",removed,0,0
"Let's use the same approach from the Spacing docs. Also, always include a line between paragraphs and always use punctuation.

> Display utility classes that apply to all breakpoints, from `xs` to `xl`, have no breakpoint abbreviation in them. This is because those classes are applied from `min-width: 0` and up, and thus are not bound by a media query. The remaining breakpoints, however, do include a breakpoint abbreviation.
>
> As such, the classes are named using the format `.d-{value}` for `xs` and `.d-{breakpoint}-{value}`  for `sm`, `md`, `lg`, and `xl`.

Markdown for copy-pasting:

```
Display utility classes that apply to all breakpoints, from `xs` to `xl`, have no breakpoint abbreviation in them. This is because those classes are applied from `min-width: 0` and up, and thus are not bound by a media query. The remaining breakpoints, however, do include a breakpoint abbreviation.

As such, the classes are named using the format `.d-{value}` for `xs` and `.d-{breakpoint}-{value}`  for `sm`, `md`, `lg`, and `xl`.
```","still like mine, but compromised with bullet points to make it stand out for newbies.",0,0
"Add `tEnv.executeSql(""SELECT * FROM t3"").print();` here.
You will find the exception.","I add the  query test code before ,but get an exception, because the test framework do not rename the location, if we add the query test code, I think others may be confused. They would think that data cannot be read after rename",0,0
"1. If GetProfile attempts to read a profile with the wrong window duration, will the user get a reasonable error message?  I was unable to find this in GetProfile.java or GetProfileTest.java.
2. Unlike the profiler, it seems to me that there may be need for multiple simultaneous clients for different users, some of which may be consuming historical profile data that was taken with different window duration (and other settings) than is currently in use at the time the client is run.  Therefore, I suggest that GetProfile should also take an optional override set of config arguments (any or all of profiler.client.\* , possibly excepting table.provider) so that clients accessing different data won't stomp on each other. 
","1. Define ""wrong window duration""?  Can you give me an example of what you're thinking of?
",1,1
"Since the lookup is performed on an incoming flow file, is there any reason the Index, Type, etc. properties couldn't support attributes coming from the flow file? If it is this way because the ES Client Service CS can't use them, perhaps we should write up a separate improvement Jira to do something like NIFI-5121.","I could definitely see some value to that, but since this is a LookupService implementation, we should discuss it in that context. NIFI-5121 only describes one particular interface, and LookupService is more expansive in use.",1,1
I think extracting these methods in LeadershipManager class would be more useful than keeping them in a util class.,Could you tell me why it would be more useful? The process is short-term and hence the LeadershipManager will be temporary. The cost of creating a such class is a bit wasting I think.,1,1
"I think i would name this SharedMemoryHashMap or similar.  When I see ""SharedHashMap"" it reminds me too much of shared_ptr, and makes me think of ownership or concurrent access or something.",done,0,1
"```suggestion
subscriptionBacklogScanMaxEntries =10000
```",thanks,0,0
Let's keep the param name in-sync between the jdbc classes and the parser classes - isAll here and isRebuildAll below. Let's pick one. I'd suggest 'rebuildAll' (to keep it consistent everywhere and inline with async without [is]).,"Also, I prefer isRebuildAll because this is just returning the boolean parameter. However, rebuildAll suggests a function name where you actually rebuild the index. It is harder to read the code that way.",0,1
can we get a meaningful name for this variable,Changed variable name with a more meaningful one.,0,1
"I started working on a fix for this, which I'll submit as a separate PR, since it's outside the scope of this one.","I started working on a fix for this, which I'll submit as a separate PR, since it's outside the scope of this one.",0,0
Does it make sense to add `[[nodiscard]]` here?,Ended up not adding this change to not modify `AbortShutdown()`.,0,1
The threshold of a file appender is static. Evaluation of a FileAppender threshold should be done only once during iteration over file appenders. Logging in v1 should be enabled only when there is exactly one FileAppender with threshold greater or equal to ERROR.,done,0,0
nit: newline after `if` block,Done!,0,0
This seem to duplicate a lot of code from `RemovedFiles.test.js`. Maybe it makes sense to merge both files into one.,"this is a good point, I will merge them into a `ChangesAndRemovals.test.js` file",0,1
can we somewhat move the version `37.0` number into a constant?,"I know, it bothers me too. But I think `public static final String API_VERSION_37_0 = ""37.0"";` would bother me more. It brings nothing to the party, ya know?",0,1
shouldn't this be exactly  translogGen1?,lol. I fixed,1,1
There is no need to specify it.,@eladkal the changes are pushed for this. Please review it . Thanks!,1,1
"It seems our code style doesn't cover the of pom, but you don't need to do this change, it's better to revert this change.",ok,0,1
We can omit this as we are already printing the containerID earlier.,done,0,0
"I'd suggest renaming the methods to start with a `createXXX` prefix, so it's explicit that these need to be closed and EVERY SINGLE CALL to them creates a new resource.",This has been like this for a long time now. Not sure if anyone is using this in the test-jar.,1,1
"a comment, telling what the key is, would help.",Done,1,1
Code format,fixed,0,0
Redundant empty line.,Removed it.,0,1
"Can you pass along the original exception as well? `throw new IllegalArgumentException(errorMessage, e)`",Done!,0,1
remove these comments,OK,0,1
standalone?,changed,1,1
Does this need to return str?,fixed,1,1
This line is redundant because the whole section is for Java now.,done,0,1
may I know why do we have this constraint?,"Because currently we will do the primary key uniqueness check when inserting data to the pk-table, just like what database does. Bulk insert currently cannot do such things.",0,1
"```
from logging import getLogger, INFO as lvl_INFO
_logger = getLogger()
_logger.setLevel(lvl_INFO)
```",this doesn't set up the stream handler to print to stdout,0,0
This should have type `Pattern` unless there is a special reason not to compile it right away.,done,0,1
"We should also override `DataOutput` methods like `writeShort()`, `writeLong` etc. The wrapped IndexOutput may be overriding them and not invoking the base class impl. (like in `OutputStreamIndexOutput`)","Hmm, I think if those methods get overridden though, that would break this implementation cause it would use the wrapped `IndexOutput#writeBytes` in which case we won't be tracking the bytes anymore I think?",1,1
Why is it named var5？,Fixed,1,1
I think this is exit code stuff? Is it not needed anymore?,"since we don't have this on other packageTools, can we leave adding it in as a seperate PR?    I don't have a ton of confidence in my bash skills, so nervous about tacking on a new feature and not getting it working...",1,1
"`unnamed` name does not really fit to what the purpose of this function is. Also, the logic here makes your graph potentially incorrect if a person used the same name (or the same lack of name) for multiple nodes (which is unfortunately allowed by MXNet).
What I would prefer is a function named something like `DeduplicateName` where you would check whether the same name was not used before for different Node and add `#number` to the name (adding `unnamed` or better `_unnamed_` would be fine there too).","From what I tested most of the nodes have names from operators or variables, and head gradients I added names which makes the graph much better.",0,1
`{@query}` is invalid Javadoc,Fixed,1,1
"I still don't completely understand this bit, but should the new dependencies rather be excluded from the jdbc-all module?","I'm not sure why this happened.  I did bump the version of `okhttp3` to 4.9.1 or whatever the latest version is, but there are no new dependencies. ",1,1
@flycash Do you think it is better to use `ctx.resetOption()` instead of `opts`? Because it was only used once.,"yes, corrected",0,1
"> 子查询中projection, where 中column 包含table,没有使用table别名

子查询的SELECT中的查询列和WHERE条件中查询列包含表名，但没有使用表别名
My understanding is correct, isn't it?",Yes,1,1
eqeqeq: Expected '===' and instead saw '=='.,okay ^_^,0,0
"I would prefer if this is `dataset_name_prefix` that defaults to """" in the overload that does not expose the argument?",Good suggestion. Changed it.,1,1
repeated values here,One is for 'gs://foo/' while other is for 'gs://foo'.,0,0
"```suggestion
ARG PYTORCH_VERSION=1.8.2
```
pip has also this one",No idea,0,0
Copyright error,Fixed,1,1
I find it a bit disappointing that javadocs for codecs are not published. They contain very valuable information. Don't you think we should start publishing javadocs for internal classes as well?,I find it a bit disappointing that javadocs for codecs are not published. They contain very valuable information. Don't you think we should start publishing javadocs for internal classes as well?,1,1
shouldn't this test assert for some conditions before shutdown? Otherwise it might not be testing what you are wishing for.,"The `ioManager` runs in parallel - we always want to shut it down, even if the checks fail. Since both our writer implementations don't do anything (`IOManagerAsyncWithStallingBufferFileWriter` returns a writer that ignores any write requests, `IOManagerAsyncWithClosedBufferFileWriter` creates a writer that would always throw when executing write requests), it's fine the way it is.",0,1
@sunkai-cai Please remove this useless blank line.,finished,0,0
"I can be convinced otherwise, but I feel like the name of the class should include Lifecycle in one way or another","Agreed, I'll rename this class to `IndexLifecycleExplainResponse`",0,1
who is using the adminUrl?,https://github.com/apache/incubator-pulsar/pull/2101/files/77f840237aa80fef55477c16f038ef5ef6ec608a#diff-79f7bfa7dd1879a88347464ef101a81dR138,1,1
"```suggestion
        {{- .Values.ingress.web.hosts | default (list .Values.ingress.web.host) | toYaml | nindent 8 }}
```

I think using `toYaml` is cleaner, thoughts?",Ignore me again. All good here.,0,1
This shouldn't be necessary.,Is `media_content_type` always not `None`?,1,1
```dtype.kind == 'm'```,"Since `pandas` doesn't support to convert [`timedelta[ps]`](https://github.com/pandas-dev/pandas/blob/master/pandas/tests/series/test_constructors.py#L1352), I used `(dtype.kind == 'm') and (dtype.name != 'timedelta64[ps]')`",1,1
"Could also modified?
```java
.setSchema(schema.toString().getBytes(UTF_8));
```",see above,0,0
Code format,fixed,0,0
Maybe add reference for docker build cache here? `https://docs.docker.com/engine/userguide/eng-image/dockerfile_best-practices/#/build-cache` (so for the curious ones they can jump to documentation right away),Done.,0,1
What if `srcFs.getScheme() == null` and `destFs.getScheme() == null`?,fixed,1,1
why is `Instant.ofEpochMilli(file.lastModified())` not enough?,"Because `file.lastModified()` millis is adjusted to the local time zone. But the type here is TIMESTAMP_LTZ, which means that effectively when we write the record, the timestamp needs to be adjusted to UTC. That's why all this time weirdness (and that's the reason for below comment as well) ",0,1
"Would ""app.builder.class"" be more accurate?","Since we are going to rename the StreamGraphBuilder to StreamApplication instead of a builder, I am stuck with this ""app.class"" name here. It's not that great. Any better name for it?",1,1
"Calling this method will now always log a warning even though there is no actual problem.
","Could you explain, please? What do you mean? 
",1,0
"I think you're confusing what i meant by invariant to label permutation.

I mean that for some (binary) `y_true, y_pred`, `metric(y_true, y_pred) == metric(1 - y_true, y_pred) == metric(y_true, 1 - y_pred) == metric(1-y_true, 1-y_pred)`",For unsupervised metrics the input format is completely different . The parameters are X and labels .How will the label permutation work there ? Silhouette__score needs X.shape to execute which is not present in labels. So it doesnot follow format invariance,1,1
"Arrays.asList returns ArrayList, why to pass it into constructor of another ArrayList?",fixed,0,1
"`Filename of the SSH Key to use for authentication. Either I(key_filename) or I(password) is required.`

Similar for `password` field.",Thank you I was not aware of italics mode. Changed!,0,0
I'm not sure that keeping the deprecated method is okay. Please let me know if you have any opinions. It seems that `slownessInfo` is used in others.. so It can disturb the unit tests until removing the deprecated method.,I'm not sure that keeping the deprecated method is okay. Please let me know if you have any opinions. It seems that `slownessInfo` is used in others.. so It can disturb the unit tests until removing the deprecated method.,1,1
"instead of having a switch statement here, can we instead have the strategy return the execution strategy?

```
return strategy.getExecutionPlan();
```",Done,0,1
"this looks like breaking binary compatibility, if a user has a customized authorization provider.

can we try to make it a default method?

```
default CompletableFuture<Boolean> isSuperUser(String role) {
    return Futures.value(false);
}
```",@merlimat any updates on the above?,1,1
And here `if masked_lm_labels is not None and encoder_hidden_states is not None:`,done,1,1
"[-1] v1 REPLACENODE supports the ""async"" parameter, so we should probably add that to the RequestBody as well.

(`CollectionsHandler.submitCollectionApiCommand`, which you use above, already has logic built around the parameter, so all we should have to do is add it to the RequestBody here, and then make sure it gets added to the message in `createRemoteMessage` above.)",Done,0,0
Because every `write` test uses `ensure_clean` as a context manager I figured it made more sense to add to the fixture rather than duplicating for each test,Because every `write` test uses `ensure_clean` as a context manager I figured it made more sense to add to the fixture rather than duplicating for each test,0,1
can we get a meaningful name for this variable,Changed variable name with a more meaningful one.,1,1
In general. These type of exceptions makes sense to wrap in the lib. So the lib doesn't expose the http library its using.,Makes sense! Should I add exception handy to the lib an bump the dependency on this PR?,1,1
"Nit: case and tense -> ""Failed""",Fixed!,0,0
let's avoid * import,"This seems automatically done by my IDE, do you guys have a format file for me to set in the IDE?",1,1
nit: `added: REPLACEME`,fixed in 305693a7b5bea1fa86eee5ca12376cc9753b21b6,0,0
Changes here are not necessary. Currently there is no strong code indent rule in the Java code. Please revert these changes.,Reverted.,0,0
"Presumably this code can now be dropped?
",Done,1,1
should prob use isinstance here as this is an old idiom,"tried this, turns out this is intentional to get tuple but exclude NamedTuple.  Added a comment to that effect.  (green)",0,1
Question: is this still true?,"The code for old ChannelBufferInputStream and new ByteBufInputStream are quite similar, so I expect the same behaviour. Is there a test case that would trigger the bug?",1,1
I suggest to keep the port as an optional parameter.,if pure TCP connection will be accepted there is no way to switch ports.,0,0
ConcurrentHashMap?,Changed.,1,1
"Can you make this comment a bit more clear? end_stream may not be set on the last byte in the connection, if the FIN arrives after the last byte on a split packet.",Done,0,1
Was this dependency actually needed for anything?,"`StringUtils.isEmpty()` is in this dependency. At my first commit, I used `str == null || str.isEmpty()` but Mike suggests to use `StringUtils.isEmpty()` instead and `nifi-record-path` hasn't, has it?",1,1
"Add the license, please.",done,0,0
"given that `clearWALEntryBatch` will wait for the worker to not be alive, why are we waiting for it here as well?","Indeed, removing this block.",0,1
"Is it possible to implement this, or is there something preventing this from being supported?","It doesn't make sense, and useless: only metric columns are aggregated during indexing, not the timestamp column.",1,1
"Instead of specifying a path of a manually generated secret key file, you can just generate the key in code.

```java
        SecretKey secretKey = AuthTokenUtils.createSecretKey(SignatureAlgorithm.HS256);
        Properties properties = new Properties();
        properties.setProperty(""tokenSecretKey"", AuthTokenUtils.encodeKeyBase64(secretKey));
```

And the `CLIENTUSER_TOKEN` can be replaced by a non-final field like:

```java
        userToken = AuthTokenUtils.createToken(secretKey, ""user"", Optional.empty())
```",Great catch!,0,0
"please update the `@param` java doc.

Secondly, I'm not sure, but isn't `StringWriter` a part of public API and shouldn't we preserve the old constructor?",Yes  @pnowojski  @StephanEwen,0,1
"This is a static non-instantiable class, I'd rather change the constructor visibility to private.",done,0,1
"Little trick to note, you can use `OperationType.values()`. You don't need to change though",:+1: It makes the code clean. Why not :-),0,0
"we shouldn't introduce breaking API changes, but rather make `deletedStatisticsFilesCount()` return 0 by default",Ack.,0,1
This should have type `Pattern` unless there is a special reason not to compile it right away.,done,0,1
"1. This doesn't compile (cannot find symbol `getInputChannelMappings`)
2. Probably makes sense to extract testing methods (unless it's a temporary method)",This is only temporary and could be avoided by having the second PR merged into the first PR. I needed a point to cancel while still allowing tests to run on the different pieces.,0,1
"<!--new_thread; commit:a769afcabd2a4b8ad94cae1f1c62e73823e42d7b; resolved:0-->
Extra newline.","<!--thread_id:cc_162184924_t; commit:a769afcabd2a4b8ad94cae1f1c62e73823e42d7b; resolved:0-->
<!--section:context-quote-->
> **charlesccychen** wrote:
> Extra newline.

<!--section:body-->
I don't see this.",1,0
I think this debug log does not add any value here. Could we please remove it?,Ok,0,1
nit: remove empty spaces,Will do,0,0
Please validate possible categories.,"The user would need to look at what categories the provider of the GeoJSON feed has documented, or do a bit of reverse-engineering.",0,0
To me we're now abusing a profile because it is not yet possible to specify these at a higher level.  The `default` profile could contain much more.,"That's correct, but we don't have a better way. Settings with Maven 5 could natively support repositories. Do you see a better way?",1,1
"```suggestion
class EnvoySystemSensorEntity(EnvoySensorBaseEntity):
```",20e5aef90ba948b3ea5133e77c5f19705ea761da,0,0
Static?,Yes. I will make it static.,1,1
Are you sure you have configured your code style format correctly? It complicates reviewing these lines which changed just due to code style format.,As suggested in the wiki I have the reformatting for changed lines (line 140). IDE for some reasons chose to format the above lines closer it also. Anyways these lines were crossing the length of 120 and I broke the log statements into multi line for easy readability and not to cross 120 width.,0,1
Why this class has to be public?,The reason is the same as previous one.,1,1
"New SCMException introduced here that broken the unit test:

[ERROR] Tests run: 1, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 0.077 s <<< FAILURE! - in org.apache.hadoop.hdds.scm.exceptions.TestSCMExceptionResultCodes
[ERROR] codeMapping(org.apache.hadoop.hdds.scm.exceptions.TestSCMExceptionResultCodes)  Time elapsed: 0.023 s  <<< FAILURE!
java.lang.AssertionError: expected:<30> but was:<29>
	at org.junit.Assert.fail(Assert.java:88)
	at org.junit.Assert.failNotEquals(Assert.java:743)
	at org.junit.Assert.assertEquals(Assert.java:118)
	at org.junit.Assert.assertEquals(Assert.java:555)
	at org.junit.Assert.assertEquals(Assert.java:542)
	at org.apache.hadoop.hdds.scm.exceptions.TestSCMExceptionResultCodes.codeMapping(TestSCMExceptionResultCodes.java:35)",yup,0,0
"Presumably this code can now be dropped?
",Done,1,1
"don't call remove here. It you look at storeChanges you will see it already calls setDelta(null) in a finally block. By calling ThreadLocal.remove here you just cause setDelta(null) to recreate an entry in the thread local map.
I think we should not call ThreadLocal.remove at all and the current call of setDelta(null) on storeChanges is all we need",It's gone!,0,1
Since `ActivationSettings` is immutable after instantation would it make sense introduce pre-instantioned objects for them to avoid allocation?,Done,0,1
License,Done,1,1
"Excuse me, could somebody tell me where I can get the output info after running this test case? :)","Excuse me, could somebody tell me where I can get the output info after running this test case? :)",1,1
