project,pull,author,reviewer,CCR,Prediction,Merge
flink,13217,rmetzger,tillrohrmann,"```suggestion
				+ ""The requested operation is not available while the JobManager is initializing."");
```",0,False
geode,2320,lgallinat,dschneider-pivotal,"These three lines can be changed to:
  return getCriticalMembers().retainAll(members);
and creates one HashSet instead of two.
",0,True
systemds,933,t201,j143,"1. Consistency to be preferred, such as `| centers |` instead of `|centers |`.
2. In `centers` we can replace `--` instead of --------, in Default column
3. For values in the `Default` column let us prettify the formatting by enclosing the 10 in backtick (`)
",0,False
ignite,10028,timoninmaxim,anton-vinogradov,"just `ver`?
Could ve also explain what it represents (timestamp at coordinator)",1,False
flink,8624,tianchen92,tillrohrmann,Exclude from this PR.,0,False
dubbo,4015,cvictory,Moriadry-zz,"if `configInfo` is null, which means a config has been deleted. This line will throw NPE:

```java
        java.lang.NullPointerException
	at java.base/java.util.concurrent.ConcurrentHashMap.putVal(ConcurrentHashMap.java:1011)
	at java.base/java.util.concurrent.ConcurrentHashMap.put(ConcurrentHashMap.java:1006)
	at org.apache.dubbo.configcenter.support.nacos.NacosDynamicConfiguration$NacosConfigListener.innerReceive(NacosDynamicConfiguration.java:229)
	at com.alibaba.nacos.api.config.listener.AbstractSharedListener.receiveConfigInfo(AbstractSharedListener.java:37)
	at com.alibaba.nacos.client.config.impl.CacheData$1.run(CacheData.java:188)
	at com.alibaba.nacos.client.config.impl.CacheData.safeNotifyListener(CacheData.java:209)
	at com.alibaba.nacos.client.config.impl.CacheData.checkListenerMd5(CacheData.java:160)
	at com.alibaba.nacos.client.config.impl.ClientWorker$LongPollingRunnable.run(ClientWorker.java:505)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628)
	at java.base/java.lang.Thread.run(Thread.java:834)
```

In order to avoid that, it is necessary to remove the dataID from cacheDate.",0,True
pulsar,4296,tuteng,merlimat,We should replace `2.4.0-SNAPSHOT` with `{{pulsar:version}}`,0,True
rocketmq-externals,640,stevenchange,vongosling,This dataset is not maintainable friendly,1,False
linkis,4784,lenoxzhao,guoshupei,How to support different namespaces and different queues?,1,True
ozone,525,iamabug,smengcl,Let's not mix the change to the English version `Containers.md` into this jira. Just to make this jira a _translation_ only. Otherwise I'm +1.,0,False
storm,2738,govind-menon,revans2,This is never used.,1,False
hudi,6046,boneanxs,alexeykudinkin,Let's abstract this as a method in WriteConfig,0,True
flink,17452,jianyun8023,fapaul,Can we maybe share the configurations between the source and the sink?,1,True
beam,3835,sberyozkin,jkff,Can a lot of this be abbreviated to Tika.parseToString(is) ?,1,False
nifi,2675,JohannesDaniel,markap14,"I'm fine moving this out of the json package into something more generic, but I don't think org.apache.nifi is the appropriate package. Perhaps org.apache.nifi.record or something like that...",1,False
flink,15071,rmetzger,tillrohrmann,Isn't the `SchedulerType` defined by the `SchedulerNGFactory`?,1,False
flink,8064,HuangZhenQiu,fhueske,remove double space (twice),0,False
shardingsphere,4825,yu199195,kimmking,blank line should be with four space,1,True
beam,24009,mosche,echauchot,"Tangent question: Did you consider Wazero instead? https://github.com/tetratelabs/wazero
Wasmer is robustly supported (and we should have this example), but wazero has the non-trivial benefit of no CGO dependencies. (Not that I see using beam outside of AMD64 and aarch64, but it means it's all quickly compiled with Go.)",1,True
pulsar,11974,zwalsh-toast,Anonymitaet,"```suggestion
     * Start the consumer in a paused state. When enabled, the consumer does not immediately fetch messages when
```",0,True
hadoop,4797,leixm,slfan1989,why static ?,1,True
flink,18491,RocMarshal,wuchong,nit: It does not have to be a lambda..,1,True
guacamole-client,131,necouchman,mike-jumper,Same thing here - please do not cuddle the `catch`. See other code in the codebase for examples of style.,0,True
beam,1369,vikkyrk,bjchambers,"We should also create tests for: Creating a template with these sources, then creating a job from that template, and making sure that works too.",0,False
zookeeper,944,enixon,hanm,"This looks like a duplicate of previous `if (supportPlaintext)` on L439, we can unify them to avoid code duplication.",1,False
hbase,675,BukrosSzabolcs,meszibalu,Can we parameterize the name of the interface?,1,True
geode,1327,jinmeiliao,PurelyApplied,"Just for good measure, we should probably have a test on a gross 
```String json = ""{\""k1\"":\""v1\"",\""k2\"",\""v2\""}"";```

I see you use that form in another test, but it would still be good for completion, I think.",1,True
tinkerpop,876,GCHQResearcher1337-zz,dkuppitz,"```
over a some traversal
     ^^^^^^
```

Minor thing.",1,True
cassandra-java-driver,1031,alexott,adutra,"Suggestion; ""The statement's target table can be specified as a simple table name (if a default keyspace has been set when creating the `Session` object), as a combination of keyspace name and table name, or as a [TableMetadata] object.""  ",0,True
beam,13889,johnedmonds,lostluck,Make `2.13.54` a constant so we can reuse it.,0,True
cassandra-java-driver,732,newkek,tolbertam,"Should be ""Queries and Results""
",1,True
flink,17152,AHeise,XComp,This log message might be confusing. What does the `flush` flag say in the end? I would suggest making the log message more descriptive.,1,True
pulsar,1466,lucperkins,ivankelly,"It doesn't help with disk space, as we don't delete the old data. It only helps with rewind.",1,True
hudi,1029,Guru107,vinothchandar,Replace with `about: Report an issue faced while using Hudi`,0,True
pulsar,10224,congbobo184,codelipenghui,"We already have a method `asyncReadEntry` in the ManagedLedgerImpl, it's better to use the current implementation directly.",0,True
flink,10921,Myasuka,tillrohrmann,"```suggestion
		this.memManager = MemoryManagerBuilder.newBuilder().setMemorySize(MemoryType.OFF_HEAP, offHeapMemorySize).build();
```",0,False
shardingsphere,5020,jingshanglu,tristaZero,Why do not you remove this one?,1,True
nifi,5656,markap14,nandorsoma,It is also true for this processor that null ptr exception is thrown when AWSCredentialsProviderControllerService is not set.,0,False
pulsar,7739,wolfstudy,Jennifer88huang-zz,"do we need to refine the sentence?
Support sth does not work?",1,True
flink,8309,eaglewatcherwb,GJL,"The assertions can be stricter. In particular, we should assert:

1. All vertices in the topology are scheduled at once, i.e., there is only one call to `allocateSlotsAndDeploy()` 
2. The deployed ExecutionVertexIDs match with the vertices in the topology.

To ease testing, I think it would help to make the constructor of `TestingSchedulingVertex` accept the `ExecutionVertexID` directly:
```
TestingSchedulingVertex(new ExecutionVetexID(...))
```

Using [hamcrest matchers](https://github.com/junit-team/junit4/wiki/matchers-and-assertthat):

```
assertThat(testingSchedulingOperations..., containsInAnyOrder(executionVertexId1, executionVertexId2))
```

Let me know what you think.",1,False
bahir-flink,17,rubencasado,rmetzger,"We suggest to use parameterized messages in log4j for performance reasons: https://logging.apache.org/log4j/2.0/manual/messages.html
Here, you'll concat 5 strings, even if logging is disabled.

Also, there's a space missing in + ""at the table"".",0,False
flink,13915,lirui-apache,JingsongLi,"This will fail when partition values can not be found in path.
I create https://github.com/apache/flink/pull/13919 to refactor this.",0,True
beam,23615,reuvenlax,lukecwik,"```suggestion
  @Hidden
  @Default.Boolean(false)
```",0,False
pinot,3979,sunithabeeram,Jackie-Jiang,getIngestionTimeMs()?,1,True
dolphinscheduler,12726,seedscoder,kezhenxu94,"You don't need this.

",1,True
beam,10656,mwalenia,iemejia,Can we remove the `in` to make all names consistent in all invocations (same in the README) so it becomes `Run Direct ValidatesRunner Java 11`,1,False
camel,10293,jbonofre,essobedo,"```suggestion
        if (body instanceof String bodyAsString) {
            ActiveMQTextMessage answer = new ActiveMQTextMessage();
            answer.setText(bodyAsString);
```",0,False
hbase,354,sunhelly,jatsakthi,"@infraio This is the line where the following exception is thrown when run without the changes:

> Caused by: org.apache.hadoop.hbase.ipc.RemoteWithExtrasException(org.apache.hadoop.hbase.constraint.ConstraintException): org.apache.hadoop.hbase.constraint.ConstraintException: Target RSGroup my_group is same as source Name:my_group,  Servers:[192.168.0.69:62102, 192.168.0.69:62105],  Tables:[Group_testKillAllRSInGroupAndThenAddNew] RSGroup.
	at org.apache.hadoop.hbase.rsgroup.RSGroupAdminServer.moveServers(RSGroupAdminServer.java:298)
	at org.apache.hadoop.hbase.rsgroup.RSGroupAdminEndpoint$RSGroupAdminServiceImpl.moveServers(RSGroupAdminEndpoint.java:218)
	at org.apache.hadoop.hbase.protobuf.generated.RSGroupAdminProtos$RSGroupAdminService.callMethod(RSGroupAdminProtos.java:13870)
	at org.apache.hadoop.hbase.master.MasterRpcServices.execMasterService(MasterRpcServices.java:889)
	at org.apache.hadoop.hbase.shaded.protobuf.generated.MasterProtos$MasterService$2.callBlockingMethod(MasterProtos.java)
	at org.apache.hadoop.hbase.ipc.RpcServer.call(RpcServer.java:374)
	at org.apache.hadoop.hbase.ipc.CallRunner.run(CallRunner.java:132)
	at org.apache.hadoop.hbase.ipc.RpcExecutor$Handler.run(RpcExecutor.java:338)
	at org.apache.hadoop.hbase.ipc.RpcExecutor$Handler.run(RpcExecutor.java:318)",0,True
bookkeeper,776,philipsu522,ivankelly,broken indent,1,False
incubator-hugegraph,819,Linary,zhoney,query to assert two different edges,1,True
dubbo,2618,kun-song,carryxyh,unnecessary comment,1,True
cassandra-java-driver,1100,adutra,adutra,This should be called `InternalStartupOptionsTest` (or the corresponding test name if we rename that class).,1,True
gobblin,2975,ZihanLi58,sv2000,Does this boolean need to be reset back to false after the logic in the if {..} block has finished?,1,False
iceberg,5893,sumeetgajjar,amogh-jahagirdar,Same new line,0,False
calcite,780,ptrbojko,vlsi,I'm afraid this comment does not clarify much.,1,False
camel,3192,Braus,omarsmak,"I am bit confused here, is `httpConnectionFactory` supposed to be initialized but never used somewhere else? ",1,False
druid,14529,ektravel,writer-jill,"```suggestion
|`recordBufferFullWait`|Integer|Number of milliseconds to wait for the buffer to drain before Druid attempts to fetch records from Kinesis again.|No|5000|
```",0,True
flink,8214,bowenli86,dawidwys,I wouldn't mention table environment here. I think `CatalogManager` makes also sense on its own.,1,False
druid,11895,clintropolis,gianm,"Consider adding:

> New applications should use `typeSignature`, not `type`.",0,True
flink,10832,curcur,zhuzhurk,"This is not a must, but I'd still suggest to try to mark the variables final if possible, like we do in other parts in this test class.",1,True
servicecomb-java-chassis,163,acsukesh,wujimin,what's the relationship between EventManager and EventBus in ServiceRegistry?,1,True
incubator-hugegraph,2106,zyxxoo,javeme,can move to line 209,0,True
flink,6266,yanghua,dawidwys,Please revert the indentation.,0,False
ignite,6904,Sega76,dgarus,I think you shouldn't mix system tests with crud tests.,1,True
hive,1662,kgyrtkirk,kasakrisz,Accidentally left here?,1,True
hbase,501,ArthurSXL8,virajjasani,"nit: although not imp, can you keep the name same as before? 
`matchExceptionWeCare` doesn't seem much vocal or may be we don't need that one liner function.",1,True
bookkeeper,826,merlimat,eolivelli,Maybe we can split in smaller methods? To make it clearer what the test does?,1,False
beam,3541,reuvenlax,jkff,How about ImmutableList.of(schemaView),1,False
hadoop,181,flyrain,kambatla,"IMO, we should either (1) not say anything about other policies or (2) list the policies that are allowed. ",1,False
cassandra-java-driver,1639,absurdfarce,jshook,"I'd like to make this a simple value type (immutable, final, ...) and javadoc it as such.",1,True
flink,8631,xuyang1706,Unknown,missing javadoc? this also prompts me to suggest wrapper on `Vector` and make all these concrete impl private.,1,False
flink,14684,anlen321,wuchong,"```suggestion
      <td>Whether async lookup are enabled. If true, the lookup will be async. Note, async only supports hbase-2.2 connector.</td>
```",0,True
flink,2553,wuchong,twalthr,"No index check here. I would use a `Option` here.
",1,False
hbase,302,murtazahassan123,HorizonNet,Ditto.,0,True
hive,846,ramesh0201,t3rmin4t0r,"2 * 2 = scale 4, so the scaling is not needed in the inner loop at all",1,False
flink,9691,yanghua,tillrohrmann,Let's add a fallback key and test that it gets filtered out.,0,False
beam,2883,reuvenlax,jkff,"This repeats 5 times throughout the PR, it's way too much. Extract into a utility? (e.g. into BigQueryHelpers)",1,False
incubator-kie-optaplanner,682,triceo,ge0ffrey,"-1 Avoid number.doubleValue(), intValue(), ... like the plague. Why?
- rounding errors, try `(double) 9007199254740993L`, see https://ge0ffrey.github.io/ge0ffrey-presentations/cornerCaseCheatSheet/cheatSheetJava.html
- doubleValue() on some large or extremely accurate BigDecimals are questionable

You could in theory prove that the signum well never change by rounding. But seeing how Math.abs() behaves on MIN_VALUE, let's not take that risk. Furthermore, this causes auto-inboxing to Number, which will have a performance impact.

Also, keep the operands of the same type, to avoid java-puzzlers-bugs. So keep the second operand specifically a double: `if (impact.doubleValue() < 0.0) {`. (Same goes for longs: in LongScore etc, we use `0L` to send a zero long, not `0`.)

This implies we'll have an `assertPositiveImpact(, int)`, `assertPositiveImpact(, long)`, etc",0,True
hive,305,maheshk114,sankarh,Can add a stage type of REPL_TXN and use it for all txn events.,0,False
drill,2299,luocooong,paul-rogers,This isn't right. The data file has this same timestamp in UTC. The date that should appear in Drill is that same time converted to the local time zone. See [this test](https://github.com/apache/drill/blob/master/exec/java-exec/src/test/java/org/apache/drill/exec/store/easy/json/loader/TestExtendedTypes.java#L180) for how the work is done for the new JSON parser.,1,True
hive,2442,saihemanth-cloudera,kgyrtkirk,"could you please change the summary of the PR to something which makes more sense than ""Revert HIVE-24625 and update task compiler code to set ta""",0,False
hive,807,xhumanoid,belugabehr,"Please change this (and the rest) to:
`
LOG.debug(""Checking for hv: {}"", hv);
`
http://www.slf4j.org/faq.html#logging_performance",0,True
incubator-kie-drools,1364,ngs-mtech,mswiderski,This class still seems to have wrong formatting as it shows to be completely replaced and thus I can't see what has actually changed,1,True
flink,6777,klion26,azagrebin,`Files.readAllBytes` can be probably used and then `assertArrayEquals`.,0,True
beam,3478,xumingming,takidau,"Much better name, thanks!",0,False
nifi,4863,sushilkm,exceptionfactory,Is it necessary to expose the SecretClient as a interface method?  The interface could be simplified to something more generic if it is not necessary to make the SecretClient available to consumers.,1,False
nifi,3133,colindean,mattyb149,"The validator supports expression language, so I think these properties should support expression language at the Variable Registry level",0,False
ignite,8328,aries-3,alamar,blank line,1,False
flink,7747,sjwiesman,dawidwys,"```suggestion
	 * a job, specifying custom IDs allow an application to evolve overtime
```",0,True
beam,15660,daria-malkova,damondouglas,"May we consider breaking this into three interfaces `Validater`, `Compiler`, and `Runner` with `Validate`, `Compile`, and `Run` methods?",1,True
cloudstack,3245,shwstppr,PaulAngus,"```suggestion
""label.compute.offering.custom.unconstrained"":""Custom Unconstrained"",
```",0,True
beam,1725,jbonofre,jkff,"Shouldn't be static, I think",1,False
hadoop,634,ajayydv,bharatviswa504,Here we should call OzoneS3Util.getVolumeName(),0,True
flink,14847,XComp,rmetzger,"(Note to future self) We are not tracking this future anymore, but relying on the completion of all execution's termination futures.

This seems to be sufficient, because the ExecutionGraph is doing the same on all relevant operations (suspend, failJob)",0,False
pulsar,11592,leizhiyuan,tisonkun,This mock can be a local value?,1,False
incubator-paimon,207,JingsongLi,LadyForest,"```suggestion
However, the following filter cannot accelerate the query well.
```",0,True
flink,8952,HuangZhenQiu,xintongsong,I think we should also test against the interfaces in `Meter`.,1,False
geode,7157,Kris-10-0,dschneider-pivotal,"The failures in `AbstractHitsMissesIntegrationTest` can be fixed by changing these `false` to `true`. You can test what the expected behaviour of a given command is using the redis-cli:
```
$> sadd key1 member1
(integer) 1
$> info stats
```
Look for the ""keyspace_hits"" and ""keyspace_misses"" stats. They should both be 0 for a freshly started Redis server.
```
$> sdiff key1 nonexistentKey
1) ""member1""
$> info stats
```
You can now use the values of the ""keyspace_hits"" and ""keyspace_misses"" stats to determine if the given command (sdiff in this example) should update stats or not. If they're still 0, then the command shouldn't update them, if they've changed, it should.",0,True
kafka,4785,deegoy2,mjsax,"Nit: Can we break this long line into one line per parameter?

also, please add `final` to each parameter. Thx.",1,False
druid,4731,dgolitsyn,drcrallen,Does this remove the key or just set the value to null?,1,True
accumulo,3219,DomGarguilo,ctubbsii,"In both constructors, you're initializing it to 0. You can just do that here once.

```suggestion
  private final AtomicInteger cur = new AtomicInteger(0);
```",0,True
beam,23165,kileys,lukecwik,can we limit this only to jamm?,1,True
pulsar,3844,Jennifer88huang-zz,ivankelly,This FAQ is the same as another further down.,1,False
hive,2065,Dawn2111,sankarh,nit: Misaligned statement. Add 2 spaces.,0,True
flink,17605,lincoln-lil,JingsongLi,Just left one line is OK,0,True
pulsar,3876,congbobo184,sijie,final,0,True
hudi,1554,hddong,yanghua,"IMHO, we also need to refactor the arg parse. But not in this PR.",1,True
ambari,476,majorendre,swagle,UI should make sure to handle null as something like Unknown user for readability.,1,True
shardingsphere,16434,jingshanglu,terrymanu,Please use `null == name` and `0 == name.length()`,0,True
incubator-kie-optaplanner,2147,triceo,ge0ffrey,"This will throw a StackOverflowException in some cases where it shouldn't.

Useless moves return isDoable() = false, and aren't scored, so they are pretty much immediately elimated.",0,False
drill,2702,vvysotskyi,jnturton,"```suggestion
The format plugin has the following configuration options:
```",0,True
shardingsphere,16579,Swastyy,yx9o,Can I get a bean named `encrypt` here.,1,False
activemq-artemis,1764,clebertsuconic,jmesnil,should be removed,1,False
shardingsphere,24536,galaxylqx,terrymanu,Please use @RequiredArgsConstructor,0,True
iotdb,1088,JackieTien97,qiaojialin,move to InternalMNode,0,True
plc4x,242,inigoao,ottobackwards,These should be removed.  All access to parameters should be through the context,0,False
flink,14447,blublinsky,xintongsong,Inconsistent JavaDoc.,0,False
geode,3742,pivotal-eshu,kirklund,These uses of `Properties.put` are pre-existing but should be changed to `Properties.setProperty` if you're up for it.,1,False
flink,5893,yew1eb,zentol,Let's keep this at it is.,0,False
flink,18363,wenlong88,slinkydeveloper,"Add some javadoc and also add a `throws` to specify you throw the flink's exception, rather than the calcite one",0,False
beam,24488,sirenbyte,alxp1982,"When selecting fields nested inside an array, the same rule applies: each chosen field appears separately as a top-level field in the resulting row. This means that if you select multiple fields from the same nested row, each selected field will appear as its own array field.",0,False
kafka,3325,bbejeck,dguy,I think we should probably add a unit test in `RocksDBStoreTest` to prove that this works.,1,False
incubator-heron,1952,ashvina,billonahill,can this be private?,1,False
dubbo,13033,songxiaosheng,AlbumenJ,Move into `if (isCollectEnabled()` and `if (optional.isPresent())`,0,True
drill,1892,cgivre,paul-rogers,"What does the table name mean here? Is this the REST endpoint?

```
<base url>/<table name>?<params>
```
?",1,True
avro,2555,Fokko,martin-g,"## Cast from abstract to concrete collection

[List<String>](1) is cast to the concrete type [Array<String>](2), losing abstraction.

[Show more details](https://github.com/apache/avro/security/code-scanning/3136)",0,True
flink,23230,xiangyuf,huwh,`assertThat(result.getPendingTaskManagersToAdd()).hasSize(2);`,0,True
iceberg,6701,snazy,nastra,I think this should be added to to `AddSchemaUpdate` instead of `AddSnapshotUpdate`,1,False
inlong,5332,kipshi,healchow,This is `Agent` or `DataProxy`?,1,True
kafka,5032,asasvari,vahidhashemian,nit: This can be done as `List(groupId).asJava` using `JavaConverters` (no need to import `java.util`). There are a couple of other instances of this.,0,True
flink,9703,liupc,tillrohrmann,"```suggestion
FLINK_JVM_GC_LOGGING_OPTS=$(getGCLoggingOpts ${gclog})
```",0,False
ignite,3704,homich1991,SomeFire,Files must end with an empty line.,1,False
iotdb,4972,choubenson,qiaojialin,add javadoc: still have unseq files but cannot be selected,0,True
beam,16128,mosche,aromanenko-dev,Would  it be better to use a factory method here to create different coders? Or even more - just delegate it to `of()` methods for every coder as we used to have for other coders in Beam?,1,True
ignite,6976,alamar,agura,"Here `""Put All Async""` must be used.",0,False
pulsar,1669,zhaijack,ivankelly,include what was expected and what was read in the error message.,1,True
hudi,657,ambition119,vinothchandar,avro write support? this is parquet specific?,1,False
beam,1414,swegner,tgroh,"""Beam direct runner""",1,False
doris,596,chaoyli,kangpinghuang,this should be modified,0,True
pinot,1084,justYves,theseyi,Same comments as above for JsDoc,0,True
parquet-mr,615,ggershinsky,gszadovszky,You may use `ParquetCipher.valueOf(String)` instead. In this case you have handle the `IllegalArgumentException` in this case.,0,True
iotdb,43,jixuan1989,jt2594838,"format specifier should be used instead of string concatenation, compliant solution:
LOGGER.error(""[ERROR] Could not create target file for sql statement: {}"", sql);",0,True
beam,916,markflyhigh,jasonkuster,"Likewise with condensed messaging
",1,False
flink,11445,azagrebin,xintongsong,This comment can also be removed.,1,False
beam,5165,bbassingthwaite,herohde,"Please add the Apache header to the two new files. Otherwise, the RAT check fails the build.

A package comment would be nice, too.",0,True
gobblin,2719,ZihanLi58,sv2000,Isn't this lock a JVM-local lock? Won't we need Hive Metastore side locking to serialize updates?,1,False
accumulo,1381,EdColeman,ctubbsii,"Rather than a `package-info.java` file, some of this info might be more useful as a class-level javadoc on `server/base/src/main/java/org/apache/accumulo/server/metrics/Metrics.java`, and the remaining would probably be useful on either `GcMetrics` or `GcMetricsFactory`.",1,True
shardingsphere,6261,wcsoft,menghaoranss,One more unnecessary space before `it skips`,1,False
hadoop,4705,virajjasani,steveloughran,"not sure this is the right predicate. i think a simple `enabled()` would be informative enough, as what is being enabled is obvious",1,True
flink,8624,tianchen92,tillrohrmann,Exclude from this PR.,0,False
flink,6323,twalthr,pnowojski,"isn't this comment a bit misleading? 

> that describe the desired format. 

",1,False
incubator-hugegraph,1121,Linary,javeme,define const interval,1,True
beam,1725,jbonofre,jkff,Seems unfinished.,1,False
pinot,3975,jgutmann,dinoocch,"two -> two main

tagOverrideConfig is here as well",0,True
nifi,5511,laurentedel,exceptionfactory,"The wording should be adjusted to correct the spelling of `minimum`, and spelling out `characters` would be helpful.
```suggestion
Please note that the password must be 12 characters minimum, otherwise NiFi will generate a random username and password.
```",0,False
netbeans,2488,Akshay-Gupta-19,lahodaj,"The flag bitmask is not a public API. This can be moved to VeryPretty/CausalDiff, or elsewhere where it is needed, or internally to java.source.base.",0,False
ozone,684,sadanand48,bshashikant,Not required..Can you plz remove it?,1,True
flink,6147,zentol,tillrohrmann,I think zipping should not be the responsibility of the `JobGraph`.,1,False
pulsar,17565,nicoloboschi,lhotari,Looks like this declaration needs to be moved up like it is in the `AsyncHttpConnector` so that it does not override the `sslEngineFactory` when using a keystore.,0,True
flink,21577,fsk119,LadyForest,modify?,1,False
flink,16313,hapihu,RocMarshal,"```suggestion
强烈建议将 logger 字段设置为 `private static final` 修饰的类型。
```",0,True
ignite,4167,nizhikov,SomeFire,Missed description.,1,False
druid,3681,kaijianding,leventov,"StorageLocation.mostEmpty() seems to be unused now, could be deleted?
",1,True
geode,6477,jvarenina,DonalEvans,"Could the region name be extracted to a constant, and the separator replaced with `Region.SEPARATOR` please?",1,True
jena,151,ajs6f,afs,"Should not use HttpOp.createCachingHttpClient (line 37 below)
",1,True
james-project,1707,hungphan227,chibenwa,JMAPCurrentUploadUsageRecomputator,0,True
skywalking,223,ascrutae,peng-yongsheng,why Info....,1,False
iotdb,4331,choubenson,JackieTien97,Common Chunk should not print these.,1,True
parquet-mr,686,chenjunjiedada,gszadovszky,"`ParquetWriter.Builder` is to be used from code. I think, it would be more usable if we would expect varargs of strings or we would have a different method that can add column names one-by-one.",1,True
druid,8060,SandishKumarHN,leventov,Please preserve old formatting. The same in many places below in this class.,0,True
nifi,4510,simonbence,tpalfy,"```suggestion
     * @return Cache instance. Depending on the implementation it is not guaranteed that it will be a new instance.
```",0,False
iotdb,7038,Cpaulyz,qiaojialin,"```suggestion
  public TSStatus sendFile(TSyncTransportMetaInfo metaInfo, ByteBuffer buff)
```",0,True
flink,15310,Thesharing,zhuzhurk,"I did not quite understand this comment, would you explain it?",1,False
hive,447,ashutosh-bapat,maheshk114,this flow is common for both repl load and import ..need to check if it is required for import also,1,False
flink,13357,dawidwys,kl0u,I think the convention is that each argument on a separate line.,1,False
hudi,3433,codope,nsivabalan,move to debug.,0,True
flink,6218,twalthr,pnowojski,`conversions from SQL types`?,1,True
nifi,6310,Lehel44,exceptionfactory,"Including the `ex.toString()` argument should not be necessary since the exception stack trace will include the same details.
```suggestion
            logger.error(""Set default Run Duration failed"", ex);
```",0,True
beam,23577,sirenbyte,alxp1982,"Please add formatting, so the output looks like 'PCollection mean value: '",0,True
incubator-kie-drools,3527,kostola,jiripetrlik,Is there any reason why this method is not implemented?,1,True
flink,4628,bbayani,EronWright,"Let's pass the soft constraints to the launchable mesos worker in its constructor, rather than fetching them from the params.    The params aren't a good vehicle for this information.",1,False
dolphinscheduler,3605,SunJiFengPlus,yangyichao-mango,"Will it produce error when we just use 
`dataMap.put(""taskQueue"", 0);`
`dataMap.put(""taskKill"", 0);`
?",1,True
phoenix,1612,palashc,shahrs87,Add a javadoc for this method.,0,True
shardingsphere,17910,kaori-seasons,terrymanu,Please use assertThat here,0,True
pulsar,9822,Anonymitaet,Huanli-Meng,"```suggestion
     * Set the hashing scheme, which is a standard hashing function available when choosing the partition
```",0,True
pulsar,17153,gaozhangmin,eolivelli,"This is a parameter that is only useful only in ServiceConfiguration (broker.conf) because it refers to the local filesystem of every specific broker.

I think we should drop this from here",1,True
pulsar,12700,liangyepianzhou,eolivelli,"why did you move this outside of the _while_ loop ?
",1,True
eventmesh,937,githublaohu,xwm1992,Here webhookFiles may cause NullPointException,0,True
netbeans,641,pokebadgerswithspoon,matthiasblaesing,please leave the empty line,1,True
flink,13583,kl0u,tillrohrmann,Warn log level seems to high for a normal state transition.,1,False
geode,546,YehEmily,jinmeiliao,I am wondering if you can delete all these other xxx_GROUP or xxx_MEMBER string declarations and change all reference of them to use the generic ones.,1,False
iotdb,464,HTHou,fanhualta,check if it's a tsfile of an older version,1,True
flink,8973,godfreyhe,dawidwys,This is not necessary for the `explain` method.,1,False
nifi,6606,thenatog,exceptionfactory,"If the `Exception` is not a `BindException`, it should be thrown.
```suggestion
                if (e instanceof BindException) {
                    attempts++;
                    if (attempts == retries) {
                        throw e;
                    }
                } else {
                  throw e;
                }
```",0,False
flink,14868,Thesharing,tillrohrmann,"Does this mean that we have to add the consumed partitions in increasing order? If this is the contract, then we might wanna add a JavaDoc explaining this more explicitly.",1,True
flink,3587,aljoscha,tzulitai,"can we resuse `anyTimeWindow()` to replace `Matchers.<TimeWindow>any()`, just because we've defined the method in this class anyways :-)?",1,False
doris,772,kangpinghuang,chaoyli,Debug info is not necessary.,1,True
hudi,1460,leesf,yanghua,`STAGE_ID_SUPPLIER `?,1,True
skywalking,3250,sN0wpeak,wu-sheng,Unexpected change,1,True
cassandra-java-driver,1361,fromanator,olim7t,"Note to team members: we need to amend DSE mapper tests once this gets merged, some of the tests that expect a specific error message are failing with these changes.",0,False
hudi,2903,nsivabalan,leesf,nit: Last,0,True
beam,15238,kileys,lukecwik,"Iterables.filter() is a view and not something which is immediately resolved. You'll need to create a copy of pendingRemoves to ensure that future clear/write calls aren't reflected in the previous read as per the expectations of [MapState#remove](https://beam.apache.org/releases/javadoc/2.2.0/org/apache/beam/sdk/state/MapState.html#remove-K-)

You'll have similar issues with pendingAdds as well and its usage to ensure that we don't modify the state of an existing read() call with a future clear/remove call.

Best to unit test this exhaustively like how we check in [BagUserStateTest.java](https://github.com/apache/beam/blob/master/sdks/java/harness/src/test/java/org/apache/beam/fn/harness/state/BagUserStateTest.java)",0,True
cloudstack,1740,yvsubhash,rafaelweingartner,"Do you need this null check?
This only happen if one uses the `set` method of List object to replace a position with a `Null` value",1,True
geode,7364,jchen21,dschneider-pivotal,"instead of having this ""instanceof"" check here, I think it would be better to add a method on DistributedRegion named getDestroyRegionRecipients and have it do the else part of this method and then override that method on BucketRegion and have it do the ""if"" part of this method.
And then this method can just be ""return getRegion().getDestroyRegionRecipients();"".
Also, if it would not be too much work, try to change the returned ""Set"" to be ""Set<InternalDistributedMember>""",1,False
beam,23070,svetakvsundhar,tvalentyn,which project does this bucket live in?,1,True
flink,8006,hequn8128,dawidwys,"Maybe let's just replace it with the `RowTypeInfo` ctor, if we expect that type anyway?",1,False
hive,311,maheshk114,sankarh,"Extra ""new line"" character. ",0,False
flink,5913,twalthr,kl0u,"1. typo: ""appearence"" -> ""appearance""
2. I do not understand the example: ""For instance, the origin of a field might be important if time attributes need to be declared or the name of the field should differ from the input format.""",1,False
geode,801,jaredjstewart,pdxrunner,Spelling error in the comment 'valided' -> 'validated',0,False
