project,pullNumber,CCR,author,merged
kafka,4430,Nit: add empty line,panuwat-sc,True
iotdb,7621,Same as above.,choubenson,True
iotdb,1828,same,SteveYurongSu,True
nifi,5326,Is this call to the Provenance Reporter necessary?,r65535,False
beam,3662,Why is it concurrent? The DoFn isn't used concurrently.,reuvenlax,False
geode,3765,"It looks like you have accidentally changed the behavior of this code. Currently you are not putting the results of that getAll operation to the empty map, so the assert in the finally block will always be true. Either put the results of the getAll into the array, or remove the initialization and assertion. If you remove it, please write a test to verify that the behavior is unchanged.",mkevo,False
incubator-hugegraph,819,compare the two ids,Linary,True
nifi,6355,"```suggestion
        Under 'Add and Manage Public Keys', generate a Public/Private Keypair and download the configuration JSON file (under App Settings). The full path of this file should be set in the 'Box Config File' property.
```",tpalfy,False
solr,23,don't change,NazerkeBS,True
samza,397,"s/Then../Now, you are ready to run your Samza application on Yarn as described here[link to hello samza]/

""Check the log file for messages read from your Kinesis stream. """,lindong28,False
druid,14642,"## User-controlled data in arithmetic expression

This arithmetic expression depends on a [user-provided value](1), potentially causing an overflow.

[Show more details](https://github.com/apache/druid/security/code-scanning/5309)",jasonk000,True
flink,16606,I think logging of successful materialization would be helpful here (`DEBUG` level?).,curcur,True
incubator-hugegraph,328,"prefer to add fetch() method and move these code into it:
```
if (!queries.empty()) {
  return queries.fetch();
}
```",Linary,True
pulsar,11933,"Do not change the format, the following are all. You should probably double check when submitting",liangyepianzhou,True
flink,21641,FLINK-30841  is accepted,lincoln-lil,True
flink,10700,Add comment to show what are you test.,leonardBang,True
flink,12748,"```suggestion
_数据类型提示_ 可以参数化或替换函数参数和返回值、结构化类或结构化类字段的默认提取逻辑，实现者可以通过声明 `@DataTypeHint` 注解来选择默认提取逻辑应修改的程度。
```",liyubin117,False
flink,18692,"Looking at the S3 FileSystem implementation I'm not sure if this is generally correct. Directories _technically_ don't exist; when you do a mkdirs it creates an object that pretends to be a directory (in the plain hadoop s3 filesystem).
",XComp,True
zeppelin,1334,"As soon as Zeppelin does not auto-generate imports (as IDEs do) - I think we better add all imports here in order to provide a user with the full example he can start with.

If user just runs it, the output would not really help to put the correct imports

```
line 4 : cannot find symbol
  symbol:   class List
  location: class C1dc12259905d45a693c2fb0ced376883
line 4 : cannot find symbol
  symbol:   class List
  location: class C1dc12259905d45a693c2fb0ced376883
line 4 : cannot find symbol
  symbol:   class ArrayList
  location: class C1dc12259905d45a693c2fb0ced376883
line 6 : cannot find symbol
  symbol:   class Options
  location: class C1dc12259905d45a693c2fb0ced376883
line 6 : cannot find symbol
  symbol:   class Options
  location: class C1dc12259905d45a693c2fb0ced376883
line 6 : cannot find symbol
  symbol:   variable PipelineOptionsFactory
  location: class C1dc12259905d45a693c2fb0ced376883
line 7 : cannot find symbol
  symbol:   class FlinkPipelineRunner
  location: class C1dc12259905d45a693c2fb0ced376883
line 8 : cannot find symbol
  symbol:   class Pipeline
  location: class C1dc12259905d45a693c2fb0ced376883
line 8 : cannot find symbol
  symbol:   variable Pipeline
  location: class C1dc12259905d45a693c2fb0ced376883
line 21 : cannot find symbol
  symbol:   class DoFn
  location: class C1dc12259905d45a693c2fb0ced376883
line 21 : cannot find symbol
  symbol:   class KV
  location: class C1dc12259905d45a693c2fb0ced376883
line 21 : cannot find symbol
  symbol:   variable ParDo
  location: class C1dc12259905d45a693c2fb0ced376883
line 20 : cannot find symbol
  symbol:   variable Count
  location: class C1dc12259905d45a693c2fb0ced376883
line 10 : cannot find symbol
  symbol:   class DoFn
  location: class C1dc12259905d45a693c2fb0ced376883
line 10 : cannot find symbol
  symbol:   variable ParDo
  location: class C1dc12259905d45a693c2fb0ced376883
line 9 : package TextIO does not exist
```

What do you think?
",mfelgamal,False
drill,2359,"Explain a bit more. I have two tables with titles ""a | b"", and ""c | d | e"". Do I get a union row with ""a, b, c, d, e"" as fields? Or, just ""a, b"" as fields? When I read the second table, do I then get ""a, b, e""?",cgivre,True
gobblin,3569,"Sorry if I was misleading earlier, I thought about it some more and I think we need to be cautious here. We want to actually do the reverse of what you have. So we have the function catch (FileNotFoundException) here silently, which is the old behavior. We want to actually have this function return the empty list `filesAtPath` since otherwise it would cause all pipelines with one missing target folder to perform a full copy instead of an incremental copy.

This means that there will be a tradeoff, the sourceFS will still fail silently if the folder is missing on the source. ",phet,True
shardingsphere,12280,@tuichenchuxin Can we add a `CommentAssert` to handle this logic? And move `if (!expected.getComments().isEmpty())` into the `assertComment` method.,tuichenchuxin,True
hudi,7605,not sure if we can do this. we can just delete the inflight and make progress. we don't want to requested to be overwritten just incase.,jonvex,True
kafka,2716,"This is not introduced in this PR but I found the following comment can be improved as well. Maybe we can piggyback the fix in this PR as well ?

Basically, with the added lines in `send`, the `topicName` passed here should never be a changelog topic, otherwise there will be no source processor associated with it. So instead of the check on line 116, we should just check the returned `currNode` from line 112, and if it is null, skip the rest of the function directly.",wimvanleuven,False
guacamole-client,413,"Same as other places - if these are accurate Japanese translations they should be kept, but if they are not being translated they should be removed.",dg-hasimoto,True
datasketches-java,470,"## Missing catch of NumberFormatException

Potential uncaught 'java.lang.NumberFormatException'.

[Show more details](https://github.com/apache/datasketches-java/security/code-scanning/631)",AlexanderSaydakov,True
logging-log4j2,206,Would it be better to check `AbstractLogger.getRecursionDepth() > 1`? The class name check is fragile,nataliemeurer,True
dubbo,11094,Should be `contains`?,chickenlj,True
zookeeper,1056,"This is not final, why don't you add a setDigestEnabled method?
Make it 'volatile'

We won't lose much in performances",symat,False
hive,4344,Is it possible to make this rule stronger? I mean the keyword `DATE` is always followed by a quoted `DATE_VALUE` not just any string,wecharyu,True
beam,22175,"Is this general firestore knowledge? if not, can we add some sort of documentation link here for the future?",danthev,True
shardingsphere,17652,"assertNotNull is unnecessary assertion in this case, it is better to remove it",misselvexu,True
skywalking,3173,Same issue here.,aiyanbo,True
nifi,5732,"This should be changed to a short-circuit return instead of creating a new empty FlowFile.
```suggestion
            return;
```",MikeThomsen,False
hudi,1554,`Files.createFile`,hddong,True
beam,8010,It's not running on Dataflow runner but on Direct. Please update the comment accordingly.,mwalenia,True
camel,1390,Discrepancy with the naming convention,RasPelikan,False
jmeter,545,* import  should be avoided,vdaburon,False
beam,15900,"We do not keep commented-out code - we can just remove this.
If we ever need this code again, we can look it up in revision history. ",AnandInguva,True
flink,2580,"300, 150
",tzulitai,False
shardingsphere,5166,Sharding-JDBC/Sharding-Proxy,menghaoranss,True
shardingsphere,4531,"It's not a good idea for using `assertWatchUpdateChangedType ` method  at `assertWatchAddChangedType ` method, maybe we should rename these methods and make them more meaningful.

I suggest this method rename `assertWatchUpdateChangedTypeWithNotExistedKey`",gongsiran,True
hudi,9712,nit: user -> users,nsivabalan,True
flink,8742,"I'd change this paragraph:
 * omit mentioning HA mode at all (I still see value of service resource even in HA mode);
 * the service resource is useful not only for TM -> JM communication. It's also needed to access web UI. In fact, there is a paragraph down below, that mentions `<NODE_IP>:30081` address to access it and that defined in the service resource.
",sunhaibotb,True
accumulo,2900,"I don't think it's necessary to change this shell command at all. The only differences should be in the API method's implementation, and maybe this command's description to emphasize it's an estimate. None of the printing of the output needs to be changed at all to achieve the desired goal of this PR, to get size info from the metadata.",cshannon,True
cassandra,675,"Nothing wrong with how the `!=` operator is used here but a comment about its intentionality and/or a `@SuppressWarnings(""ArrayEquality"")` annotation could be helpful for suspicious readers.",blerer,False
geode,3235,"Actually, one more change to make. Please extract the `new EntryEventFactoryImpl()` calls into a private final member field and then use that field to create entry events:
```
private final EntryEventFactory entryEventFactory = new EntryEventFactoryImpl();
```
Otherwise, we'll end up generating a lot of instances for garbage collection to deal with. AbstractRegionMap experiences a lot of traffic such as thousands of operations per second.",xmas92,True
dubbo,6234,how about moving this sample to `dubbo-samples`,vipweihua,False
shardingsphere,14767,"Return `java.lang.Double` later, and translate to `java.math.BigDecimal` on write into target. Refactor it later.",ReyYang,True
iceberg,1145,"Minor: in other modules, we don't use `this.` when reading a field, only when assigning to it so it is clear whether the assignment is to a local variable or a field.",openinx,True
nifi,6303,Should be under `org.apache.nifi.processors.shopify.GetShopify` (`shopify` is missing).,Lehel44,False
linkis,4784,Whether the reference `usedCPU` is correct?,lenoxzhao,True
cassandra-java-driver,1050,You could make these protected in `V3SchemaParser` instead of redefining them.,GregBestland,True
beam,6637,Should mention that this only works with Flink. Should live in a dedicated Flink package.,mwylde,True
iotdb,430,"```suggestion
                  String.format(""The device [%s] doesn't belong to any storage group."", deviceId));
```",SolomonAnn,True
linkis,4524,the `<![CDATA[ ... ]]>` can be removed,sjgllgh,True
flink,15317,We have `ExplainOperation`. Please use meaningful description.,chaozwn,True
plc4x,241,EOL missing,splatch,True
flink,12126,"Put it under `org.apache.flink.table.factories` ? I think `org.apache.flink.table.sinks` is a legacy package, all the interfaces/classes under this package will be removed in the future. 

",JingsongLi,True
samza,348,"Minor: explicit imports, here and for util.",vjagadish1989,False
doris,336,TabletScheduleContext? TabletInfo name is too common,morningman,True
pulsar,12355,"```suggestion
You can configure Pulsar brokers (via properties in ```broker.conf```) to emit WARN/ERROR messages and increment Prometheus metrics when the certificates used by a Pulsar client are in the following situations: 
```",wmccarley,False
ignite,3695,"empty line here and braces at the lines 145 and 148
",techbysample,False
nifi,3478,Please revert changes to Concat.java. We don't have to touch this.,MikeThomsen,False
pinot,2228,"Do we need this here, or can we delete it? Same comment for the commented out code bits in this file.",newsummit,True
ratis,528,"Add ""final"".",maobaolong,True
hadoop,799,Same as above.,avijayanhwx,True
ignite,8960,nit: Invert condition to reduce nesting,alex-plekhanov,False
nifi,5398,"Similar to the event itself, recommend renaming the factory class to something other than prefixed with Netty.",thenatog,False
beam,13646,:+1:,anantdamle,True
zookeeper,1905,"*[SynchronizeOnNonFinalField](https://errorprone.info/bugpattern/SynchronizeOnNonFinalField):*  Synchronizing on non-final fields is not safe: if the field is ever updated, different threads may end up locking on different objects.

Reply with *""**@sonatype-lift help**""* for info about LiftBot commands.
Reply with *""**@sonatype-lift ignore**""* to tell LiftBot to leave out the above finding from this PR.
Reply with *""**@sonatype-lift ignoreall**""* to tell LiftBot to leave out all the findings from this PR and from the status bar in Github.

When talking to LiftBot, you need to **refresh** the page to see its response. [Click here](https://help.sonatype.com/lift/talking-to-lift) to get to know more about LiftBot commands.

---

Was this a good recommendation?
[ [🙁 Not relevant](https://www.sonatype.com/lift-comment-rating?comment=299364090&lift_comment_rating=1) ] - [ [😕 Won't fix](https://www.sonatype.com/lift-comment-rating?comment=299364090&lift_comment_rating=2) ] - [ [😑 Not critical, will fix](https://www.sonatype.com/lift-comment-rating?comment=299364090&lift_comment_rating=3) ] - [ [🙂 Critical, will fix](https://www.sonatype.com/lift-comment-rating?comment=299364090&lift_comment_rating=4) ] - [ [😊 Critical, fixing now](https://www.sonatype.com/lift-comment-rating?comment=299364090&lift_comment_rating=5) ]",tisonkun,False
beam,5491,Try a test where you set the minimal set of properties.,iemejia,True
shardingsphere,20013,"It's better not put them in `PipelineJobContext`.
We could transfer these fields to InventoryTaskSplitter, or add them in sub-interface of PipelineJobContext.",azexcy,True
nifi,4510,"```suggestion
     * @return Names/IP addresses of all expected hosts in the cluster (including the current one). For a standalone NiFi this returns an empty set instead.
     */
```",simonbence,False
nifi,2587,"Probably should use characters.getData() here, instead of characters.toString() as there is no guarantee of what toString() will provide",JohannesDaniel,False
ozone,379,No need to duplicate complete doc from parent interface.,cxorm,True
calcite,3480,Should the class be `public`?,HanumathRao,False
iceberg,227,I don't like to modify function parameters. Can you either return both from the method (use `Pair` if you need) or separate the mapping and the conversion to separate methods?,edgarRd,True
flink,4138,"I would like to declare the signature like this `(sep: String, str1: String, others: String*)`",sunjincheng121,False
pulsar,5942,Is this real root cause of #5588 or it just a patch to avoid such behavior?,codelipenghui,True
flink,9971,"same comment as above, move this long chain to a method in manager?",dawidwys,True
storm,2517,**`zkClient` must be guaranteed to be closed.** Please ensure `zkClient` is closed after `for` statement.,danny0405,False
kafka,9549,"I think this is supposed to be parsed using the `Values` class, which would allow users to specify integral, floating point, boolean, and even structured and nested types here that would then be correctly picked up by the framework and used in the resulting header.",tombentley,True
shardingsphere,23168,It needs some unit tests,azexcy,True
druid,14589,"We put the API description directly after the heading, then the URL - like this example:
https://docs.imply.io/latest/pivot-alerts-api/",demo-kratia,True
iotdb,3220,"Hi, I wonder whether this change is correct, since the class is `TSDataType` and `String` separately.
I got this failure when I run tests in `IoTDBSessionSimpleIT.java`:
![20431622707611_ pic](https://user-images.githubusercontent.com/19167280/120614520-e7981700-c489-11eb-89ed-11b61a552912.jpg)
",eileenghm,True
solr,857,"If you are adding something to the Solr XML, you need to add an entry for it in the documentation:
https://github.com/apache/solr/blob/main/solr/solr-ref-guide/modules/configuration-guide/pages/configuring-solr-xml.adoc",laminelam,True
maven,1062,is this TODO still relevant? Can it be removed?,gnodet,True
flink,15303,"The code style should be 

```scala
 reusableMemberStatements.add(
      s""""""
         |private static final $TIMESTAMP_DATA $fieldTerm =
         |$TIMESTAMP_DATA.fromEpochMillis($queryStartEpochStr);
         |"""""".stripMargin)
```",leonardBang,True
dubbo,9057,Remove these unused code,EarthChen,True
samza,1044,Maybe add some `Precondition` checks in each of the methods?,cameronlee314,True
nifi,4481,Minor: why not creating during declaration?,pgyori,False
skywalking,3250,Default should be the pattern in the document.,sN0wpeak,True
flink,17204,"In general I prefer doing this in each test, because typically different tests need different tables, and this creates a dependency between them (it's hard to tell whether some setup code is actually still needed). However, then we'd have to make sure to reset the state between tests (or have a separate instance of the mock per test). I'm OK with leaving this as-is, just wanted to share this thought.",slinkydeveloper,True
iotdb,500,""" It can be set dynamically, but will take effect after restart.( First call stopStatistic(), then call startContinuousStatistics() or startOneTimeStatistics()）"" -> ""The changes will not take effect instantly. To make the changes effective, you should call  startContinuousStatistics() or startOneTimeStatistics().""",HTHou,True
iceberg,6512,"This comment is obvious from context, can you please remove it?",krvikash,True
shardingsphere-elasticjob,1620,Using HTTP port in SMTP testcase confuse users.,ZHZstruggle,True
druid,7267,Thanks for javadoc :+1:,gianm,True
ignite,7628,Let's just name this `Fields`,gurustron,True
shenyu,4116,Multiple results may be found.,mahaitao617,True
flink,16313,"```suggestion
对于 Flink 发行版，这意味着你必须
```",hapihu,True
dolphinscheduler,13360,"```suggestion
- 当前只测试了`MySQL`、`PostgreSQL`和`HIVE`数据源，其他数据源暂时未测试过。
- `Spark`需要配置好读取`Hive`元数据，`Spark`不是采用`JDBC`的方式读取`Hive`。
```",v-wx-v,True
hbase,600,"If the chore was not scheduled, this cancel call wont make any issue right? Just confirming",virajjasani,True
pulsar,4093,@wolfstudy Can you add javadoc comment?,wolfstudy,True
geode,5175,No need to have this field as it already exists (with `public` modifier) within the `DiskInitFile` class.,mkevo,False
pulsar,12520,"Nice catch, looks like we apply the configuration for producer and consumer but missed the client part.

Could you please help add a test for covering the changes to make sure we will not make a regression in the future?",callumduffy,True
shardingsphere,4173,o == null -> null == object,plazmdk,True
doris,706,package under license header,chenhao7253886,True
flink,6294,"there are at least 2 instances where the key ends with ""port**s**"".
https://ci.apache.org/projects/flink/flink-docs-master/ops/config.html#query-proxy-ports
https://ci.apache.org/projects/flink/flink-docs-master/ops/config.html#query-server-ports",dawidwys,True
flink,16676,"```suggestion
    private static Enum<?> getTransactionManagerState(String enumName) {
```",fapaul,True
beam,4243,Please elaborate how this works as it's hard to understand without really deep knowledge of kinesis.,pawel-kaczmarczyk,True
cassandra-java-driver,1410,Missing `@NonNull`.,emerkle826,False
flink,6876,"Instead of overriding `isRemoteSender` we could also start a second `RpcService` and connect from there to the `RpcEndpoint`. That way we would properly test that in case of remote communication we do the serialization. If we do it this way, then we don't need the `TestingRemoteAkkaRpcActor`.",yanghua,False
cloudstack,3239,"Put this and this would fix the pid issue:
```
Environment=JAVA_PID=$$
ExecStart=/usr/bin/java $JAVA_DEBUG -Dpid=$JAVA_PID $JAVA_OPTS -cp $CLASSPATH $JAVA_CLASS
```",nvazquez,True
hudi,9590,"I see the instance of check for replace commit metadata and commit metadata everywhere, can we avoid that?",codope,True
flink,8209,remove trailing slash?,kl0u,False
hbase,3684,"Related to the above comment, LruBlockCache here will cache all blocks from the HFile, not just the index blocks which was the goal.",taklwu,True
flink,16464,"Might be simplified to `assertEquals(completionException.getCause(), failureCause)`.",dmvk,True
flink,10078,Connector Tables,dawidwys,False
beam,5150,"Please clarify a bit more about how the worker can access the files (under what names), especially if the list includes files inside directories.",bsidhom,True
flink,6698,"Since this only exists temporarily, could we make it so that it doesn't occupy memory in the backing array anymore if not needed? Easiest way would be to use `trimToSize()` in `setFlushTimeout()` (see below) - or making this an `Optional`. I think, I'd prefer option 1.",pnowojski,False
geode,6905,"Warning here can be fixed by using `RegionFactory<Object, Object>`",pivotal-eshu,True
ambari,285,`Objects.hash(...)`,scottduan,True
flink,12883,"It would be good to get rid of the dependency to flink-runtime; this change goes contrary to our goals of separating the metric modules from flink-runtime.
The ServiceLoader mechanism is standardized, so it's fine to just call `ServiceLoader.load(MetricReporterFactory.class).iterator()` here.",Myasuka,True
iotdb,6539,Also test re-active here~,imquanke,True
ozone,1233,Seems we could not modify here :wink:,captainzmc,True
incubator-kie-drools,1299,"@manstis If this is the only non-whitespace change, do you think it will solve the backward compatibility issue with tests scenarios that expect rule firings using the non-FQN names? By looking at the code, I'm afraid this only solves the problem with default java package vs Drools ""artificial"" `defaultpkg`.

I'm trying to build workbench including this fix to do thorough testing...",manstis,True
pinot,3819,👍,Jackie-Jiang,True
kafka,2007,"Since `offsetReset` is an enum, we could instead just iterate over the enums (i.e. AutoOffsetReset.values()).",bbejeck,False
gobblin,965,Why mix log and LOGGER instead of using one?,kadaan,False
flink,9909,use Option would be nicer,JingsongLi,False
flink,21349,"```suggestion
                    ""\tIn such cases you need to adjust the poms so that the dependency shows up in the right spot. This may require adding an explicit dependency (Management) entry, excluding dependencies, or at times even reordering dependencies in the pom."");
```",zentol,True
iotdb,96,bad indent,liukun4515,True
nifi,6733,"Can we log the exception as well, this way it doesn't really help the investigation.",ferencerdei,False
druid,4874,"This is not part of the dynamic config, correct?",himanshug,False
doris,687,Check priv does not throw MetaNotFoundException,EmmyMiao87,True
pulsar,4507,"```suggestion
If you run a Pulsar Function in the **local run** mode, you run it on the machine where you run commands(for example, your laptop, an [AWS EC2](https://aws.amazon.com/ec2/) instance). The following example is about the [`localrun`](reference-pulsar-admin.md#localrun) command.
```",Jennifer88huang-zz,True
pulsar,20718,"Well, I am wondering if it's valuable to use get with a timeout to avoid the broker hanging forever in some thread-blocking cases. :) ",coderzc,True
flink,7405,instead of this comment please extract the if condition below to a separate method like `void migrateNextTransactionalIdHindState()` or something like this.,yanghua,False
solr,1177,Same comment about 'here' applies,justinrsweeney,True
geode,3036,This can be private and some of the visibility of other methods on this class can be further restricted.,bschuchardt,False
kafka,1696,"At this point we have a lot of repeated code with `toRst()`. Would probably make sense to refactor to share the majority of the code for each config's main set of fields.
",rekhajoshm,False
gobblin,3640,"can we treat this the same way as other Gobblin constants?
`public static final String MODIFICATION_TIME_KEY = ""modified_time""`
",umustafi,True
phoenix,1586,"No need for PreparedStatements if we don't set any parameters.

We could just put each query in a try-with-resources block that creates a (non prepared) metaStmt, to make sure that we don't let it hanging.
Just be careful to always re-create metaStmt when metaConnection is replaced",kabhishek4,False
pinot,6985,`.Values.controller.external.annotations`,chethanuk,True
iotdb,9104,"```suggestion
                    createChannelForShuffleSink(
```",lancelly,True
ratis,272,This can be removed since leader is never null.,amaliujia,True
geode,6601,Please try to avoid using abbreviations and acronyms. Just name vars like this `resultCollector` instead of `rc`.,albertogpz,True
incubator-hugegraph,1838,"we can use [LOG.info("">>>> query all vertices: size {}"",size);] ",mayelena,True
gobblin,2420,Please update your code-style.xml file to the one that puts `org.apache.gobblin` after com.,arjun4084346,False
eventmesh,4337,"After making this modification, does `orElse()`  become redundant?",maxim-zgardan,True
druid,7308,"Just throwing this out there, might be kind of rad to someday get this part of the URL `http://druid.io/docs/latest` from a centralized place so it could maybe be versioned for releases to point to the correct version of the documentation, e.g. `http://druid.io/docs/0.15.0-incubating` for when we cut the 0.15 branch or whatever.",shuqi7,True
flink,2629,"We could initialize the `ArrayList` with the exact size (number of elements in `queue`), then we don't have to enlarge it.
",bjlovegithub,False
flink,10409,can this loop not be simplified to `for line in p.stdout: <do stuff with it>`?,Li-Aihua,False
nifi,6775,"```suggestion
```",dan-s1,False
incubator-kie-drools,1679,"Please use imports (also for java.util.List, etc.). ",lucamolteni,False
geode,2642,This part is fine. We could use this.,onichols-pivotal,True
cassandra-java-driver,956,It would also be good to add that the replicas will be ordered by the configured `ReplicaOrdering`.,adutra,True
beam,7015,"I would improve upon this in a follow-up PR.

Your current logic is propagating all outputs to all receivers which is incorrect. You need to map the output ""PCollectionId"" to the actual output receiver that is associated with that output.



",boyuanzz,True
cassandra,2073,I don't think we need this field? Should be fine with just a local variable under `case LOADING`? Am I missing something important?,belliottsmith,True
shardingsphere,6359,Please keep the white space.,SirMin,False
iotdb,226,I do not recommend throwing such an exception in toString. This causes troubles when you are using a debugger which will call toString of every object it is watching. Just remove them and use the ones inherited from Object should be fine.,PancrasL,False
flink,12549,Same as above.,kl0u,False
hadoop,2354,AssertionsAssertThat to assert that the list size == 1,mukund-thakur,True
iotdb,10686,"```suggestion
```",Wei-hao-Li,True
shardingsphere,23168,It's better to add `actual` for `ackIdImporterMap`,azexcy,True
flink,13044,"Can you copy paste PR description into the commit message? You described the issue pretty well there, would be nice to keep it in the git history :)",becketqin,False
flink,22560,Could you add some cases with multiple `-`?,Myracle,True
nifi,7180,A message should be included with the exception.,mattyb149,False
druid,3511,"nullIndDices -> nullIndices
",navis,False
beam,15594,nit: missing new line,jrmccluskey,False
flink,3001,I would recommend to change the order of the method declarations of `initializeState` and `snapshotState` for a better read flow.,tony810430,False
druid,7425,i think this should have a comment that this assumes unpublished segments are never overshadowed.,surekhasaharan,True
beam,7015,"nit: you can drop final, and also Boolean -> bool",boyuanzz,True
beam,12578,"Lets exclude test categories when possible based upon missing features within the runner. This will allow additional tests to be added without needing the exclusion lists of each runner to be updated.

```suggestion
        excludeCategories 'org.apache.beam.sdk.testing.UsesBundleFinalizer'
        
        //Jet Runner doesn't current support @RequiresTimeSortedInput annotation.
        excludeCategories 'org.apache.beam.sdk.testing.UsesRequiresTimeSortedInput'

        //Event type not supported in TestStream: class org.apache.beam.sdk.testing.AutoValue_TestStream_ProcessingTimeEvent
        excludeCategories 'org.apache.beam.sdk.testing.UsesTestStreamWithProcessingTime'
    }
    filter {
        // unbounded streams created from bounded sources not supported by Jet Runner
        excludeTestsMatching 'org.apache.beam.sdk.transforms.ParDoTest$TimerTests.testTwoTimersSettingEachOtherWithCreateAsInputUnbounded'

        // timer output timestamps not supported by Jet Runner
        excludeTestsMatching 'org.apache.beam.sdk.transforms.ParDoTest$TimerTests.testOutputTimestamp'

        excludeTestsMatching 'org.apache.beam.sdk.testing.PAssertTest.testAssertionSiteIsCaptured*'
```",nehsyc,True
cassandra,749,"this will cause a compiler warning, will need something like `@SuppressWarnings(""resources)` to avoid",yifan-c,False
beam,17244,Any concerns with setting `pipeline_options=None` ?,ryanthompson591,True
ozone,250,"```suggestion
  private long getRemainingTimeInSec() {
```",elek,True
incubator-paimon,1690,You can just change this to `LinkedBlockingQueue` and avoid lock.,leaves12138,True
flink,4993,shorter: `CompletableFuture.completedFuture(null)`,kl0u,False
nifi,7240,"```suggestion
        private final Deque<Path> dirPaths;
```",Lehel44,False
bookkeeper,1436,`getEnsembleAckSet(long entryId)`. same reason as `getEnsembleWriteSet`.,eolivelli,False
cassandra,1954,"nit: ""compute and cache""",tjake,False
lucene,602,Is this correct? I think `bytes` is internal to `ByteArrayDataInput` and I'm not sure it should just be delegated to `DataInput`?,gf2121,True
flink,6898,Can we remove this field?,StefanRRichter,False
inlong,5957,Please configure the properties when new it.,fuweng11,True
lucene,12248,"I do not get what does this TODO means, do you mean making test explain easier?",jbellis,False
hive,4360,Is it a good idea to hardcode such specific case in the metastore server? Why not directly disable `STATS_AUTO_GATHER`?,ngsg,True
iotdb,6923,"UpdateNodeLoadStatistic method is executed once in a second, do `addNodeMetrics();` and `addLeaderCount();` need to be executed so frequently?

![image](https://user-images.githubusercontent.com/6756545/183584881-ef32465c-b765-47a2-bd36-baa150bc9601.png)
",23931017wu,True
druid,14720,"I think we should do it in the order like: type > bucket > prefix > tempDir >  maxRetry > chunkSize.
First three are required. Max retry and chunk size is something that we least expect the users to set, with chunk size being the least of these two. I am of the opinion that we can also undocument it. ",adarshsanjeev,False
hudi,4837,Fix the indentation.,cuibo01,True
ignite,6696,It would be better to move this logic to another place. Configuration isn't metric responsibility.,nizhikov,True
shardingsphere,25307,"1, Compatible without unique key table.

2, Could we return `MergedDataRecords { List<DataRecord> batchDataRecords (3 fields: INSERT, UPDATE, DELETE); List<DataRecord> nonBatchRecords;`, the first ones could be executed in batch, and them could be execute in a transaction.
To reduce upstream data copy.

3, `DataRecord.Key` could be simplified to `Key`
",azexcy,True
beam,26100,I think it should be possible to use SchemaTransforms without the full config or the schema (i.e. just using the schema transform ID and a set of kwargs). Can you adjust the change so that the additional validation is optional ?,ahmedabu98,True
flink,13135,"In my opinion, there is no point in mentioning something that is deprecated. Let's just drop the comment.",wulei0302,False
seatunnel,3572,Remove useless error codes.,TaoZex,True
beam,3250,Update comment to `Registers a {@link BaseBeamTable} which can be used for all subsequent queries.`,mingmxu,False
kafka,1251,nit: Feels like overkill to have constants for `null` which are only used in the constructors.,SinghAsDev,False
flink,14053,"```suggestion
For instance, you can detect patterns from a table using [`MATCH_RECOGNIZE` clause]({% link dev/table/streaming/match_recognize.md %})
```",sjwiesman,False
nifi,5650,Same comment as above,exceptionfactory,False
samza,90,Should we instead be throwing `RunTimeExceptions` instead of `Exception`s?,fredji97,False
beam,9899,"Please, remove ""writing"" since this PR adds support of reading only.",jfarr,False
guacamole-client,184,"I would fall on the ""marker interface is an anti-pattern"" side of the fence. If there is no shared functional interface between these listeners, then we shouldn't be defining a contract which states that there is.

That said, if it feels wrong to not have some common ancestor, then perhaps there *should* be a shared functional interface? At the moment, the only barrier I see preventing a common function for handling events is the variation on whether a handler is `void` or `boolean`, but there may be a better approach than the way things were done in the early guac days. Doing so would simplify the way these events get fired, and would avoid all the `instanceof` checks and casting.",ceharris,True
druid,14726,"```suggestion
    ""In large deployments of Druid, data engineers may decide to break up a single data set into multiple `TABLE` datasources. The following examples list some use cases:\n"",
```",petermarshallio,True
beam,592,This is obsolete,jbonofre,False
phoenix,435,Ditto for view name,gokceni,False
beam,23234,nit: formatting,johnjcasey,True
flink,14932,"```suggestion
Additionally, the RocksDB state backend relies on binary object identity, rather than the `hashCode` method. Any change to the keys' object structure can lead to non-deterministic behavior.  
```",sjwiesman,False
flink,8522,"why exclude guava? 

BTW, the exclusion won't work since `flink-hadoop-compatibility` is `provided`.",zjuwangg,False
flink,8303,"The assertions can be stricter. In particular, we should assert:

1. All vertices in the topology are scheduled at once, i.e., there is only one call to `allocateSlotsAndDeploy()` 
2. The deployed ExecutionVertexIDs match with the vertices in the topology.

To ease testing, I think it would help to make the constructor of `TestingSchedulingVertex` accept the `ExecutionVertexID` directly:
```
TestingSchedulingVertex(new ExecutionVetexID(...))
```

Using [hamcrest matchers](https://github.com/junit-team/junit4/wiki/matchers-and-assertthat):

```
assertThat(testingSchedulingOperations..., containsInAnyOrder(executionVertexId1, executionVertexId2))
```

Let me know what you think.",HuangZhenQiu,False
beam,13689,"```suggestion
  compile library.java.commons_lang3
```",sonam-vend,True
flink,21889,"```suggestion
class InternalOperatorCoordinatorGroupTest {
```",ruanhang1993,True
pulsar,16993,"```suggestion
                new TenantInfoImpl(new HashSet<>(), Set.of(testLocalCluster)));
```",youzipi,True
